datetime,symbol,Open,High,Low,Close,Volume,Standard Deviation(12M)
2011-06-09 10:00:00,BMFBOVESPA:JBSS3,3.79685389,3.95626378,3.77511617,3.91278836,4584934.92852593,0.6714089491514547
2011-06-10 10:00:00,BMFBOVESPA:JBSS3,3.89829655,3.91278836,3.76787027,3.78236208,3193390.20261157,0.6738154462399985
2011-06-13 10:00:00,BMFBOVESPA:JBSS3,3.80409979,3.86206703,3.76787027,3.79685389,3054553.15071532,0.6767316145334143
2011-06-14 10:00:00,BMFBOVESPA:JBSS3,3.8185916,3.86206703,3.76062436,3.78236208,3024329.1801733,0.679355722135725
2011-06-15 10:00:00,BMFBOVESPA:JBSS3,3.74613256,3.78236208,3.67367351,3.68816532,7091730.36654125,0.6822417736537114
2011-06-16 10:00:00,BMFBOVESPA:JBSS3,3.70265713,3.73164075,3.59396856,3.61570628,3501426.285944,0.685088248758691
2011-06-17 10:00:00,BMFBOVESPA:JBSS3,3.68091942,3.72439484,3.62295218,3.72439484,4744059.30311477,0.6863449035437319
2011-06-20 10:00:00,BMFBOVESPA:JBSS3,3.68816532,3.8185916,3.68091942,3.81134569,3849208.96067416,0.686273840271388
2011-06-21 10:00:00,BMFBOVESPA:JBSS3,3.80409979,3.84757522,3.72439484,3.84032931,4876133.91411349,0.6866909667909608
2011-06-22 10:00:00,BMFBOVESPA:JBSS3,3.81134569,3.89105064,3.79685389,3.79685389,3868254.20238557,0.6873177047276455
2011-06-24 10:00:00,BMFBOVESPA:JBSS3,3.78236208,3.80409979,3.6591817,3.68816532,5068104.43020462,0.6884991326008671
2011-06-27 10:00:00,BMFBOVESPA:JBSS3,3.70265713,3.73164075,3.67367351,3.70265713,5607719.612028,0.6892765358986691
2011-06-28 10:00:00,BMFBOVESPA:JBSS3,3.71714894,3.81134569,3.70990303,3.75337846,4928163.3063251,0.6892376346541661
2011-06-29 10:00:00,BMFBOVESPA:JBSS3,3.77511617,3.8258375,3.73164075,3.78960798,3469960.23442079,0.6892308122244903
2011-06-30 10:00:00,BMFBOVESPA:JBSS3,3.80409979,3.89829655,3.80409979,3.89829655,4655181.50846151,0.6882619880329968
2011-07-01 10:00:00,BMFBOVESPA:JBSS3,3.91278836,4.02147692,3.83308341,3.92003426,4904701.77668061,0.6875314400887925
2011-07-04 10:00:00,BMFBOVESPA:JBSS3,3.94901788,4.03596873,3.88380474,4.03596873,2215458.44342986,0.6875208597325633
2011-07-05 10:00:00,BMFBOVESPA:JBSS3,4.05046054,4.10118187,3.92003426,3.94177197,5183617.96145428,0.687889167141991
2011-07-06 10:00:00,BMFBOVESPA:JBSS3,3.89105064,3.95626378,3.86206703,3.89105064,2429234.38119058,0.6875059333191283
2011-07-07 10:00:00,BMFBOVESPA:JBSS3,3.91278836,3.96350969,3.80409979,3.80409979,3404129.9424183,0.687424692946817
2011-07-08 10:00:00,BMFBOVESPA:JBSS3,3.76062436,3.92003426,3.71714894,3.85482112,3909932.91975402,0.6877185515109948
2011-07-11 10:00:00,BMFBOVESPA:JBSS3,3.78236208,3.81134569,3.72439484,3.72439484,3080498.84232218,0.6874481119662056
2011-07-12 10:00:00,BMFBOVESPA:JBSS3,3.70265713,3.76062436,3.62295218,3.62295218,5337359.98512467,0.6877938609587745
2011-07-13 10:00:00,BMFBOVESPA:JBSS3,3.67367351,3.88380474,3.66642761,3.87655883,5487237.75685363,0.686675325868334
2011-07-14 10:00:00,BMFBOVESPA:JBSS3,3.85482112,3.94901788,3.8258375,3.91278836,7419363.72757673,0.6850184726999906
2011-07-15 10:00:00,BMFBOVESPA:JBSS3,3.91278836,4.05770644,3.89105064,4.01423102,5719368.89133621,0.6828259874921497
2011-07-18 10:00:00,BMFBOVESPA:JBSS3,3.97075559,4.00698511,3.86931293,3.87655883,4049183.998644,0.6804099600734109
