datetime,symbol,Open,High,Low,Close,Volume,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M)
2013-08-19 10:00:00,BMFBOVESPA:ENGI11,8.385507,8.385507,8.385507,8.385507,3058.0,0.946881074428812,-3.534274380022288,23.030360472566485,15.246641763352557,6.439085890674298,4.65550299730283,7.001842585340951,8.471243460159522,0.0473181603286864,-1.1739944353325076,2.756495457999434,0.923668650369064,-0.8728076106816486,0.6260088467570737,2.223763672633733,1.5180109542296307
2013-08-27 10:00:00,BMFBOVESPA:ENGI11,8.385507,8.385507,8.385507,8.385507,571.0,0.946881074428812,-3.903879435710927,24.31924318842901,17.76462963262045,6.458539261615962,4.609883331814121,6.930921159173263,8.509357548254041,0.0471756361931405,-1.2702611346358,2.966534844829611,1.2140220276637954,-0.5801460695056617,0.2965253094734694,2.659032260126427,1.78925418305692
2013-09-02 10:00:00,BMFBOVESPA:ENGI11,8.385507,8.385507,8.385507,8.385507,4369.0,0.946881074428812,-3.903879435710927,24.31924318842901,26.252181049586788,6.477576779077802,4.554941165739092,6.84279196686914,8.545664065269857,0.0461857688330419,-1.288452115338377,3.00107358219486,2.200202284007684,-1.7083187406541045,-0.220554340678563,2.4992123310794017,2.0195064242181338
2013-09-09 10:00:00,BMFBOVESPA:ENGI11,8.55664,8.55664,8.55664,8.55664,1447.0,3.0070239613061536,2.371794779763952,26.856373626047787,26.54859207474032,6.4285566693399865,4.429125069444537,6.630876263113452,8.408427284604333,0.3655757389187065,0.0876438067544659,3.4745302310895503,2.2678234101960046,-0.8534656719958741,-0.5750862087046352,2.3231834216996354,1.6931427050263743
2013-09-11 10:00:00,BMFBOVESPA:ENGI11,8.55664,8.55664,8.55664,8.55664,1305.0,3.0070239613061536,2.371794779763952,27.46334734590392,19.16660364790212,6.504645005558055,4.451374813174958,6.550544313250094,8.445969239024901,0.3607342075072222,0.0855282557793871,3.607773719321549,1.382307728057063,-0.44210285717409564,-0.7075878350446028,2.4048040351713955,1.2855472682779434
2013-09-13 10:00:00,BMFBOVESPA:ENGI11,8.55664,8.55664,8.55664,8.55664,4517.0,3.0070239613061536,3.197371678975002,28.07615740394257,22.22215715113976,6.576444325170806,4.473196618523532,6.458123665658248,8.492639812576112,0.3562367926652234,0.2680024421520935,3.752238127105101,1.733097104783751,-0.2529813766929451,-0.9031357578984263,2.367120550160615,1.6132273934277062
2013-09-19 10:00:00,BMFBOVESPA:ENGI11,8.45396,8.45396,8.419734,8.419734,7730.0,1.35891446710673,3.2109044171862604,26.02694247780987,23.9752612949522,6.706412522443217,4.553415603162686,6.443025448748455,8.664238105625941,0.1024852674779737,0.2629725925772057,3.438858086984584,1.8983601661758944,-0.8171990347298523,-1.329157844787367,1.863120971742317,1.8859841688986199
2013-09-23 10:00:00,BMFBOVESPA:ENGI11,7.529843,7.529843,7.529843,7.529843,8608.0,-9.353821321701815,-9.18631533460235,12.16774268511042,10.872178792699,7.730423431889502,5.2297861977506175,7.0605462007393305,9.67786366322836,-1.2973550965877465,-2.1429681954473283,1.1733046167494183,0.3443782182272665,-3.175028827269466,-2.024706671321356,1.0715403933885048,1.2099239144989933
2013-09-25 10:00:00,BMFBOVESPA:ENGI11,7.872109,7.872109,7.872109,7.872109,864.0,-5.23353554794711,0.1936643403442006,15.6068563667847,15.403449829294102,7.415711330632435,5.034788415241692,6.601998251068869,9.25523898637869,-0.7972931072406342,-0.3644156331135063,1.773706091789096,0.8484058195546025,-2.326389968579437,-1.1915303627910683,1.3543413898845111,1.470868803046897
2013-09-26 10:00:00,BMFBOVESPA:ENGI11,7.591451,7.591451,7.591451,7.591451,11673.0,0.0370290279906534,-7.998124926300471,7.921763005036669,28.15103942026706,7.820021660041922,5.292545342736969,6.721709069479369,9.5888511905158,-0.0820881298247335,-1.8951712883275809,0.5978048389206182,2.1476846779712675,-1.2556578749427858,-2.0174680671117207,0.7226768037167565,2.2012157814568534
