,SQUADRA LB FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES ACCESS,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-04-12,0.5607432118366118,113.81354291991656,3.3555444082811734,-0.6937774390395905,-3.482216614905145,2.96929574632381,1.6767960515557832,2.8349237021206903,3.974695899399023,6.105379859100444,1.392457828045648,-1.3728453652843502,-2.5246848772211647,-1.6910126196728648,1.983997283669904,0.1546682196643518,3.080489044605148,2.570328181021828,1.1768502947271968,-25.162970607905407,-3.257552448154199,-4.016714466995026,-0.6205090942404251,1.2119280138032973,0.9315004093526768,2.053958074382562,14.042401579398817,-3.099828822931488,-31.86136296422517,-1032.4274389635389
2023-04-13,0.4068148944933236,114.27655336446531,3.261211754868341,0.4426979946184193,-1.0131055561359323,3.457857861144409,1.8927522847541125,2.8204425746932453,3.94472833773709,6.084472442495136,1.1837445146199468,-0.9769517934726312,-1.9179377950108976,-1.6178386389236732,1.808832303697835,0.1550853259782593,3.121800664620692,2.573250859524008,1.2386638219760215,-17.76722855210301,-2.4235191105373595,-3.825392529648581,0.2667808253569849,1.4392008886742431,1.5998657351039305,2.309044499839238,13.475064530137542,-2.1946492023100923,-24.021763233809875,-984.3694614934928
2023-04-14,0.0694816227518435,114.35595456816785,4.384489466464117,0.6646604341065039,-2.6369237835000043,4.1615558688967225,2.0773981898049665,2.822752114171386,3.939845278286743,6.084204335840349,1.619243177699907,-0.8975191195592263,-2.3324676854713102,-1.5035621758833566,1.8510415057944416,0.1618528876461487,3.1699379959630294,2.5929691815456923,1.8172541435066991,-15.652942799413388,-2.898972096319744,-3.527993920954307,0.1260785234175691,1.094050761156515,0.6951940914131787,2.380918318946609,20.230700456212475,-2.0700483795382234,-29.177499300146415,-914.7979509715068
2023-04-17,-0.0914688681297404,114.25135447088536,5.692076476543603,0.4094335982407955,-3.855889782441756,3.716607118161625,2.225965275211528,2.829666366248999,3.932274710215133,6.093399043556103,2.098595116603246,-0.9855228380890192,-2.6469482839699303,-1.5756249766028858,1.9282492516626903,0.1634099993669092,3.1970788640440686,2.6047330421045563,2.4226120416016035,-17.06566818992028,-3.255636860686096,-3.685948452390287,0.4641380611379409,1.7284859262905958,0.781705438294792,2.26563915904782,28.094812501320636,-2.3222731237410126,-33.047801319470196,-960.0911725435133
2023-04-18,-0.5017468467593433,113.67810190244786,4.824864821289414,-1.0506332779592709,-4.29692595107996,3.416739724120969,2.277031435939084,2.8433129997682904,3.930373112675297,6.126789139595233,1.6706788237485255,-1.4943017897280624,-2.760441223748222,-1.617284832428151,1.858109049127317,0.1624072967639768,3.2716885342858912,2.634678128498569,2.04734388588216,-26.161187267869305,-3.3161970802665754,-3.76090082495186,-0.1954914348998191,1.4204624375230352,1.0969978697372074,2.088920793658925,21.39040610255639,-3.5381346572856383,-34.44812189900822,-990.8763146952891
2023-04-19,-1.2200829837580862,112.29113472487693,4.137943356301938,-3.0304722788702905,-5.227833326330654,3.405252687527754,2.279973323310601,2.864595778721553,3.9581065268539,6.203280637217948,1.3672382497525315,-2.174340530516881,-2.976289612284615,-1.600481318544309,1.724804153645524,0.1647119022241726,3.230886666163891,2.539904934493308,1.807316343398776,-37.81515859579303,-3.6462038311540135,-3.908900147688232,0.304555988808835,1.6081892157602768,1.4921377266915008,2.346788473546096,17.527944962317672,-5.1868331676470785,-37.4038177078856,-992.8234773554962
2023-04-20,0.9567312991394684,113.36545915694867,7.393713768606338,-1.5626164146276342,-6.213175045616482,3.749382627060794,2.221387275762948,2.8131146623806624,3.900676021389916,6.145780710169713,2.868944653588687,-1.6923415545921228,-3.272718110777173,-1.5607602091512596,1.974644387859417,0.172173350200062,3.378004952158604,2.573498521208206,3.2274353739503656,-27.650915983497374,-3.779098385074732,-3.72725684804317,0.5425507470127771,1.7169583364083956,1.3019754481449275,1.83093805630808,35.83467628464432,-3.976409318842899,-40.532346353628526,-959.2089986602257
2023-04-24,-0.0322959592278349,113.32884669448092,5.929749172499824,-1.7090503784183178,-5.171860836433782,3.653762122211317,1.9389553261987733,2.798054041715056,3.857325077690326,6.149481340486932,2.5318131294275514,-1.7537848560501816,-3.039541291996753,-1.576668936745642,2.284173796980516,0.174140472490801,3.4972868875524306,2.5511689215523337,2.1491677028836045,-28.179461871100017,-3.352455554053701,-3.800491658836556,0.4978346749311531,1.696786650168634,2.2461341871063434,1.8186634364674337,27.60301276653054,-4.098718046533554,-37.22610115068671,-969.5696206642696
2023-04-25,-0.4939528189524367,112.76905566154724,4.153911749944553,-3.260244820604446,-5.092882284659119,3.885932237161703,1.7192140141343046,2.7917519466240703,3.846066287680915,6.181007393399515,1.8224811477388847,-2.313378613299008,-3.027904208468968,-1.5323573920407234,2.2116164797250044,0.1857154341564938,3.665419951121255,2.5102686646167536,1.4167172104260386,-34.775673202873485,-3.1771312574858683,-3.773107039512896,0.3873694910737845,1.7381845791123112,1.6461904022384284,1.5829283377418444,17.617732955647824,-5.394350656027053,-36.97533874330035,-947.1512369534111
2023-04-26,-0.2806799428906492,112.45253554051808,2.513365708664776,-4.476957172784781,-3.3203910508190653,3.302749414649256,1.5629919193446071,2.756095118081856,3.8326386982541183,6.198419803092596,0.9550203490715428,-2.78477021666724,-2.5760396014310114,-1.6234269946604312,2.017261916058781,0.2090364255844968,3.676925704853148,2.456318054355322,0.7399579977818764,-36.71652716829442,-2.685131508544834,-4.096652717564842,0.9231835454678322,1.9018358266257531,2.0626483258000383,1.8113312618498805,8.393177229570567,-6.410607649339067,-31.34755551758244,-1006.2682032578316
