,ORGANON FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-08-15,0.3308498130568216,168.2132001238196,6.856301083103447,20.84591737237992,42.89899612033234,46.99976375288185,2.359300628659134,5.031612326667215,11.635033140793489,10.477369348751049,2.4801972800782304,3.51061075400264,3.1253143208673047,3.1902417477978373,0.3179910366268142,2.8489339633829687,3.947681261357785,5.447812992919035,18.401559566455465,6.200225267066212,9.211264357796878,6.135552220116342,3.179219018219311,4.766511111768766,3.165506684519338,4.58655356078659,585.1531002087243,1766.403234397017,3636.3135698687583,3342.5341103483033
2023-08-16,-0.6664951814773667,167.09206725038547,5.055766374601191,20.171154418315528,40.846075652219085,45.85460956221327,2.213339005715528,5.006142731229868,11.781621171068068,10.651839517859472,1.831063168251784,3.3940452026316885,2.912339375557836,3.030666583300469,0.086681550810808,2.8097010934756312,3.9126378135350217,5.36553680868502,46.75462649562338,6.047289072875039,8.76955161188477,6.01657862549782,2.770861080711703,4.566034906641922,3.1693750645221352,4.521470593243385,405.2763532220728,1699.1074720620234,3431.207924440735,3228.2174077456075
2023-08-17,-1.6833263510712015,164.27936245181013,3.0753319327651347,17.449338488851055,38.35653513004308,44.30453539245159,2.111018828780603,4.978256072440209,12.032378801202288,10.922885094932452,0.9825096156521704,2.86667939186339,2.644897009082738,2.8137334385972985,0.1490226026866215,2.8566854912716844,3.864867202208401,5.2867127078999125,13.917998080206171,4.995672129076488,8.234281034356336,5.813458898880896,2.824904598215859,3.7764950756832056,3.0146793667877607,4.396420053547314,207.40962980997253,1427.106409028313,3182.440270345047,3073.4087037567465
2023-08-18,0.2314002192578268,164.65950525671897,2.871658516845893,18.053626556100003,38.44118326040453,47.11098966422034,1.959457870055336,4.859043986872928,12.052203408540484,10.984831004414726,0.9554632878749598,3.0617457807059485,2.647724544692375,3.053531582867386,0.2627268886477715,2.950341647997047,3.8945005642851975,5.304259720404116,7.125993340885312,5.0425202230978,8.193840071576602,6.323696457662471,2.8948198419330886,3.448901248030884,2.9132740698395296,4.603698103105532,187.21900589755367,1487.7157425072799,3191.091478241774,3354.2528404441236
2023-08-21,-0.615054236044954,163.64675999458686,1.896032966635712,16.38790547695819,39.19405373817119,47.14052598422147,1.85017901318388,4.7469667822591575,12.164743749341996,11.129793649546006,0.4855376956713826,2.7835125434767285,2.685272279405347,3.0165924761911023,0.5040286578655111,3.209190634469317,3.846338638124059,5.204875092195591,1.782302733430196,4.11731277038041,8.492660748173037,6.450500961132062,3.054987245612495,3.513281866886428,2.879747175390399,4.441461919914368,89.83316546408535,1321.324158188573,3266.564917617753,3357.405178477999
2023-08-22,1.1978575828373916,165.60701511824973,3.0651949830408203,16.613319560061097,42.05332239796287,48.2642060295564,1.705462153773699,4.578475535859584,12.060027641423206,11.080448287899202,1.2133138114051047,2.9355755565557367,2.945829211644957,3.131616876329894,0.6974620073943251,3.578615992297615,3.988394178806773,5.348549665485683,2.966843733514541,3.755770638226124,8.90754025971897,6.487687508934231,3.1725443734050724,3.295585645788518,3.023417206353449,4.272604492754818,206.92607860023253,1344.0460869357823,3552.678171935011,3469.9718855685824
2023-08-23,0.6874048164543289,166.74540571655882,4.511901826281669,18.753168665766847,43.747591948811554,46.93706289890362,1.557801982799269,4.462738274498493,12.0144531909364,11.0912299576201,2.25813983556502,3.491604075661158,3.098178046841844,3.0090948292806927,0.8275394427111997,3.97460553941145,4.1405962453760505,5.491622307313809,4.250836312715605,3.920418012136959,8.989747590709003,6.077359448298022,2.4812796475098056,3.1755541946286,2.842862228879961,4.156383429938375,351.7734713281203,1558.2115147847983,3722.2915120968096,3337.456271583776
2023-08-24,-0.6100817092405841,165.7281224952831,2.6367726908657785,17.563992244620337,43.731564596528585,45.17323233616172,1.2933523468024903,4.34224701178314,12.11030402647989,11.242370569646994,1.2714034462848758,3.315044913115224,3.0724869916960227,2.811926444987096,0.9645641622748614,4.366814583156999,4.0908226167948,5.352705964758067,1.7047830463731648,3.2963945672029804,9.095664875344031,5.905932311109838,2.449034680405292,2.6833548887188035,2.9263436980415403,4.057728986293335,164.4372630985318,1439.474386790148,3720.8751586843428,3161.2719109135023
2023-08-25,-0.8647491748256408,164.2949899235511,0.9672247204742204,15.602268322368548,42.65842003879234,43.52168769688177,1.1575112714603768,4.210137694170277,12.2204054234361,11.416474107351744,-0.0202229712839889,2.953543555709409,2.957141728321971,2.624554753891505,1.2643168089743713,5.121177401493232,4.029793066665894,5.217836912700746,-0.0185145977950145,2.428118395515873,8.967574815089417,5.74244881402788,3.293681030799677,2.201086100068916,2.858550364430188,4.031933301492651,-2.3408317203636786,1243.4825055265892,3613.7470814655017,2996.3161391129297
2023-08-28,0.5971855526021752,165.27613586702375,1.2438561053369803,14.8599572920474,44.94229687643357,44.1874783437083,1.0472800229526922,4.034278477329626,12.15270859437946,11.42769175834176,0.2434783948479824,2.898738688638662,3.161699394569922,2.6804134703848987,1.768224187888098,6.941508549326107,4.154513039380222,5.304601383449004,0.1442068605844773,1.6846941871321273,9.248547553232925,5.774409179931591,2.758045369285897,2.195402116741514,2.904264738205945,3.856883245021858,25.49900589448797,1169.4319102977659,3842.3211405234224,3063.0938924465745
