,CHARLES RIVER FUNDO DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-09-19,-0.1915236396747177,155.1886714305851,2.854700322997504,5.292857991214479,25.26192695503132,25.928073555238573,1.3096919857117535,1.9231214778378487,7.134619333026136,7.35726559132129,1.4273342028680611,1.1202059817073218,2.630945393009733,1.685589993783281,7.521524862243486,15.775790537690336,2.336571143379318,2.716554130878865,0.2485357956885072,0.1365568449883325,8.033478423411328,4.565097054894723,1.185227537144251,2.500412201169566,4.110831953444672,5.551803929464063,14.665330985490407,13.581469298097822,1877.0793865103285,1240.13332623372
2023-09-20,0.6589290824945859,156.2112547193782,2.1060879284169127,6.646915697266159,28.31318328976919,27.46953149987778,1.3747665934849749,1.932782609216093,7.06511098628688,7.355145648526682,0.8152334928410754,1.8161144689081683,3.08896965291246,1.8959213323169088,7.125766163467992,15.944825448000117,2.45426397339776,2.736397946614787,0.1572821428794303,0.2201437998364347,8.892243730769058,5.096034206059386,1.6105019168212629,2.5996653868813,3.782120097017952,5.953372622900914,8.792411598326767,24.872850792905556,2182.391343109859,1394.4777537339621
2023-09-21,-1.7777631648201342,153.43418857367374,1.7259950754699926,5.470528670456439,24.909914943682928,23.181294376246896,1.402334237995447,1.936718503593148,7.128856681711415,7.518941272357965,0.5294298765160791,1.2068787865247994,2.5844789036575446,1.2848247401784605,6.119062884209412,15.066171360354744,2.443623044410347,2.613082758962747,0.1213319190381425,0.1551412380458673,7.539779813104166,3.6969827050212256,2.930438557587911,2.85790362770149,3.914352939512884,5.253352891351772,5.824478001842216,17.725505476318858,1842.4379701081277,966.0521766674424
2023-09-22,-0.496646103855014,152.67216365414103,1.9740652982425533,5.770701838594911,22.56205001998431,24.60612367287137,1.3753151318840708,1.8870898941480327,7.102062701743367,7.587644403616976,0.7214946848112216,1.3996018787178408,2.264166051157232,1.46149867953104,5.752027433037978,14.951957876940424,2.502014325756557,2.6013958173699185,0.1725100530458909,0.1766440611254245,6.426921339714954,4.262839281355081,2.161394413939389,2.8853451358059137,3.2883585466749263,6.197962202641626,7.784529767647953,264.1174561159038,1608.0249262477337,1108.9332276637297
2023-09-25,-0.3432088965092505,152.14817920598685,1.0273947029571355,4.68742829767974,21.78189671969635,27.553996594010226,1.29468568781546,1.797898665970206,7.073251766706003,7.637257126213825,0.0366008707231278,0.8685238153389758,2.163620187867469,1.838511659283732,5.5874671674062375,15.187810184084924,2.572963670439772,2.593460440438199,0.0084808773039851,0.102813887587138,5.947938749441656,5.414073819116917,2.3180967770991083,3.186183139801427,3.9410883877165706,6.43517097650553,0.3717515523154949,156.15178089612982,1530.383031631435,1404.1186271491881
2023-09-26,-1.2221903229106656,150.2886388832465,-1.5299151352691434,2.972970138706403,20.674303368240743,26.38721534147964,1.3250923212890908,1.744893784404432,7.09863353832149,7.737619834677098,-1.892810443811197,-0.085577523096985,2.000380934071455,1.664385977628847,3.611901601333434,14.303245261714562,2.562488562543629,2.5147034444726355,-0.6944122131743733,-0.0104398467204047,5.541476904748812,5.12123446657948,2.2611006391376973,3.032962962661449,4.727083913302391,5.881026925268508,-19.676610427373348,-14.932368813665597,1419.99711880185,1287.8385953059399
2023-09-27,0.733970254270111,151.39171278819697,-0.1599760907299575,2.916988737433794,20.19059549638403,27.3407026933202,1.336860016248453,1.6644132381044303,6.982960513249087,7.689106560362265,-0.8500777400748228,-0.12117697081112,1.964782327256409,1.7994098522069946,2.84622938840489,14.10000312785698,2.6318082305949115,2.5190937248302285,-0.3992773548184629,-0.0143041496191551,5.213144806245928,5.492393539393913,2.669655267420084,3.65679862516719,5.5793796593555225,5.921971117817527,-8.915415838645798,-20.16885543714224,1371.9997408361148,1383.5854099385297
2023-09-28,1.0528539529333747,152.98564642070104,1.959661172163268,3.881571758931813,21.77013907133333,29.503313485599648,1.3066383212056512,1.6045953490797027,6.863456597096611,7.622145641271878,0.7538251963944629,0.4776973059100313,2.229674614832923,2.099467302211236,2.7552640692586667,14.697136917897078,2.7510956472973658,2.575631919600325,0.3574891060675719,0.0521537548172216,5.562611012666016,6.213017250161035,1.999206513101676,3.488875105682707,4.603670754071989,6.17974329362788,7.727216260079085,76.65108753311402,1530.3274944553868,1600.2445546542197
2023-09-29,0.8360762589745274,154.26472309006323,1.331984397906539,4.124800684778599,23.804034866969364,28.89323389169116,1.221730585536574,1.558999134709122,6.76074076336783,7.57372337565826,0.2939065744299055,0.6500042623455006,2.564941502333789,2.0328635869368776,2.623069038235835,15.038535320979486,2.887084208651748,2.603911199997187,0.1368910410046986,0.0673839613316727,6.006372976069192,5.9127770823847445,2.488592767295412,3.679920384297625,5.049286317425549,5.593104748008836,2.972626279659498,101.33560825538765,1734.0904570481966,1539.6346467908327
2023-10-02,-1.171459932459784,152.4575736691431,0.3859195488346847,3.6503302266720175,21.432089918668304,22.70331139492952,1.2324973209087142,1.54622638133227,6.772048018910798,7.675086890536502,-0.4748210666505059,0.3508553375809872,2.210954984329007,1.200039097691462,2.102951561309332,14.517748186392774,2.886460814937195,2.533505728466035,-0.2782830110425376,0.0373681766644388,5.187215168154634,3.635438532203213,2.713982789062202,3.3853897472102457,4.777643220829739,4.904348014512446,-4.98674909421978,54.25017789989619,1497.2693321526206,921.0404346822994
