,TARPON GT FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-02-09,-2.3984694496005154,112.53646184414772,-2.094608000088277,-9.036364526350056,-4.890744765362077,6.262898849870593,2.4036834973358525,3.437414491962775,5.868006453752115,8.414453415627401,-1.296046099162982,-3.559215503776988,-1.9501312531627333,-0.786169278650098,1.35927967708769,1.632684994106073,2.7693317935018302,2.716607563063855,-2.2918643402505547,-7.493484044299822,-4.13218192420072,-2.4350903170341924,0.1243915233168089,-0.7574539541917502,-0.1206754290098918,1.796554816086026,-0.8504386941346797,-2.2752255615596364,-24.076851071821352,-661.5184771998647
2023-02-10,1.0876059461809362,113.7604150947863,0.5187979300639303,-6.828624401546107,-3.689447328610216,5.846783742993875,2.432304426757553,3.348455402514944,5.830227049950403,8.311418711832772,-0.2063387644536753,-2.99444299612496,-1.756721522973602,-0.8474225065445806,1.1508970141837505,1.590339814537192,2.841810711077497,2.722062734402782,-0.4360761075988242,-6.3047901688958,-3.6040702157067273,-2.587480144636765,0.3681706425020907,-0.8444698306320106,0.1229886158176628,1.7427613968673763,-0.14082911561870012,-1.8526610592511337,-21.549324025347765,-704.3283277722857
2023-02-13,0.7052477822719005,114.56270789934558,0.9788774895326212,-5.1282683347032805,-3.458480332405304,6.168388877286286,2.340014346154877,3.2930339452359902,5.807695391129228,8.245031880015702,-0.017862766863952,-2.528489805913049,-1.7237678066857638,-0.8166933630401553,1.194175868919215,1.5136782118426766,2.962130515249584,2.764265555239558,-0.0350024915186888,-5.500774666577702,-3.379701972862708,-2.435968136888991,0.7981382142682868,-0.7764210228458863,0.1159339130449412,1.7282758826064328,-0.012635178698938007,-1.5306962169346243,-21.063369996069948,-673.3662814463318
2023-02-14,0.4454826481840479,115.07306488432694,-0.0390802856558956,-6.057119263290873,-2.1804477849756334,6.257495735094966,2.248235510427384,3.260905427405648,5.798185764371748,8.201385535858122,-0.4713727280780861,-2.8382465838654616,-1.506175578660929,-0.811636262056463,1.269073320227294,1.474558216422286,2.984308835776073,2.721360335843301,-0.8350635767225645,-6.276628204004318,-2.9263344644975824,-2.446034732091105,0.9613788318184432,-0.93935724421793,0.5182586135903958,2.0108099012668434,-0.35370322797573894,-1.6896189296578694,-18.37439245305928,-665.6541900007828
2023-02-15,2.127466917600218,117.52120627080964,1.827086306212958,-2.77405092190669,1.4892724801829818,7.051989540824966,2.162129563638841,3.137174013808912,5.67783058508301,8.02622317060168,0.3729701029569616,-1.903683162607636,-0.8917781990502165,-0.7318554674136216,1.455347712012539,1.5595518367671894,3.1406744622842027,2.8201556105568217,0.5541010435516603,-3.829424073930139,-1.6121905006337376,-2.08287630941292,1.2490421040080495,-0.4988878137347862,0.9025068800415728,1.93771675700596,0.31073019305859284,-1.0882660568588853,-10.653309447788093,-587.4035310086732
2023-02-16,0.1694737903840337,117.7203739135818,0.6858236226060195,-2.7716617203660485,2.288188413866704,8.401443687659615,2.125466610838132,3.103756032585867,5.659523509528929,8.011242657249735,-0.1575432876446021,-1.9234102436021416,-0.7534997589132364,-0.5662754014255412,1.7218664727723036,1.5823439258507028,3.200982021900713,2.847835173842123,-0.1944709435634326,-3.772755119281737,-1.3322316622889534,-1.5929888405483297,0.7263220525946682,-0.7000025782573781,0.6375272160257544,1.8811667736454492,-0.1496105848746319,-1.084131030336472,-8.972392159140448,-453.6569651651513
2023-02-17,0.0616969336891815,117.79300377461392,0.6197441571100373,-6.276572305790689,1.848743083616251,10.730885604413965,2.1226437266909794,3.069935951246542,5.642839922529508,8.002729110914736,-0.1888835408904306,-3.086288079819728,-0.8336041771207441,-0.277295090870405,2.037845810646512,1.4824484442405077,3.178307469550752,2.8128097879013456,-0.1967432771663204,-6.3912554726288295,-1.47999996076817,-0.7889326557264413,1.0484648142500337,-1.319197290075093,0.5247707100470269,2.28032332624872,-0.3267511491114684,-1.7014294165230086,-9.896984124189284,-221.91174960223367
2023-02-22,-1.1251242889466662,116.46768607846587,-2.356091988931585,-3.999548558349105,0.39332484548481,7.485439960174147,2.1542848666643386,2.947416679553556,5.702704067543333,8.083164919627663,-1.5674661515013146,-2.442031028266721,-1.0800688752956988,-0.6775259726483851,2.1399015341832683,1.4152024113379906,3.097452693781282,2.709997045338964,-1.5780018637524262,-5.0859742232177725,-1.9885091968447857,-2.0208709023013105,1.1331513960571964,0.0384282471682708,0.9363103972365248,1.87985342736776,-3.6927705805631743,-1.2925307249280857,-12.959180752823238,-547.6554174248038
2023-02-23,-0.7272604558906437,115.62066265372634,-3.791107657640586,-3.6820877940182433,-1.3913247339649624,6.212208302508672,2.163666755254711,2.9264503938814386,5.746688088665253,8.136083868774366,-2.223902671800502,-2.351046932063096,-1.3823549538897286,-0.8310851077686777,2.6391433714434065,1.4663457647001856,3.163163169007886,2.732318109470292,-1.8232371647415284,-4.692087218444382,-2.511398345067701,-2.474740446750629,0.8877361234592281,-0.5271605816293484,0.5656487597671143,1.766375808205453,-6.4195052605907295,-1.2336864984628593,-16.71407936705274,-676.1778138895344
2023-02-24,-1.0171120000104228,114.44467101938372,-5.251216170544801,-6.970896803209012,-2.6185132059029987,5.749087961106087,2.165530658649936,2.9408815699895485,5.821597881078857,8.214037379131712,-2.896238280325801,-3.457817320265876,-1.575366661715211,-0.8810395821666017,3.265159582473498,1.3313483738238137,3.110692329213921,2.6456119862057443,-1.9208533709858868,-7.638144477807654,-2.9482668966111207,-2.7354321412755547,1.0540880614129822,-0.9844000357845348,0.7159799134602085,1.834523179057124,-20.861770997807085,-1.8151387911767198,-19.29608109206323,-723.6892060411052
2023-02-27,1.1367869332262526,115.74566308530584,-3.215686489940241,-5.627270041317716,-2.963098788341275,6.562651756023231,2.0057673179742235,2.8175704150715166,5.764571585120751,8.115031062012452,-2.1120910048904147,-3.1322746790856177,-1.6507274932214226,-0.7930127524708728,3.880743419046763,1.2885043473478408,3.155678175106475,2.640627146920019,-1.0916370016642634,-6.84934007854518,-3.0154332204299483,-2.4370434600656026,1.4419148895763312,-0.2283726870924845,0.4937860710095746,1.922828863913074,-17.259523522559814,-1.574953906615928,-20.021088365692748,-643.5323118873124
2023-02-28,0.6712561891456081,116.5226130124336,-1.680498126575814,-3.890439588205093,-2.135619100530659,7.665499077332096,1.9063008380238675,2.712571577867477,5.735406768472083,8.055548149998607,-1.4169719138518695,-2.6132302175522377,-1.5148458453114677,-0.6634522970787042,3.6823744808218937,1.2096170819892864,3.13010050691166,2.5993689584309894,-0.7335415669699106,-5.860180151307938,-2.775711864589149,-2.0560651488162227,2.7436054493297366,0.6909545879006141,0.7538421404729667,2.4273157604257976,-13.574018801960216,-1.2650046099825414,-18.28007300399855,-534.4471924344682
2023-03-01,-1.7485537326567655,114.4851525132155,-4.229165069726237,-8.449879029584471,-3.414569025406787,4.981588858625769,1.9376420603902027,2.711641689964156,5.858398387458581,8.191681494399916,-2.7093970539250742,-4.295557742398477,-1.7013535748276731,-0.9815298054330986,3.4554427012685847,1.1023037147970816,3.094052476630447,2.5772387199834204,-1.519296409706105,-10.566972876509135,-3.2214085296064656,-3.1197651505949704,2.2023225518240093,-0.6386598822114784,0.3471093952060541,2.342101685320084,-26.38165112816628,-2.0752513512340363,-20.97098070704853,-804.0379543368264
2023-03-02,-1.833853188791424,112.38566289315916,-6.733174920235112,-7.502125828184915,-6.124893540305963,3.394591982848377,2.0076755244542333,2.6025304536174296,6.00464902564205,8.339956849859131,-3.862103933651933,-4.111483206532114,-2.11128602188551,-1.1558063508803174,3.289250303663074,0.8976341118098332,3.016765665424453,2.5370997347811,-2.3573309492002856,-11.920514287232605,-4.2023587378580185,-3.7993678218435,0.7034251637366402,0.0451879101055577,-0.0777125171584723,2.246906436763488,-775.38515404914,-1.906396282575227,-26.572121685897645,-963.9375093134988
2023-03-03,-0.9313824231793943,111.33892258279865,-7.540515204419663,-8.68114211117542,-7.012569144350363,3.691071672081625,1.9999378888136063,2.601704693959696,6.110248620309212,8.413833170769404,-4.2807288529118175,-4.565958836568482,-2.220074501244179,-1.1118470216639715,2.6502116849826605,0.820569453700512,3.0588503785328736,2.577905309038089,-3.2303803779855285,-14.476869062033863,-4.434740336896515,-3.628874698732882,-1.0258843022640676,-0.9195193785320182,-0.179475394256204,2.1484724672849307,-21.280598349423027,-2.1094959888493023,-27.861903875023273,-935.4895351697492
2023-03-06,1.054896859669463,112.5134333807144,-4.933082464496416,-7.44099506470373,-6.790527313267379,5.876832310725139,1.7849051484948129,2.505055667593084,6.08309376440299,8.317107425448404,-3.33561651148434,-4.247063100708499,-2.193483422072067,-0.863417480074838,1.8142055200714773,0.7046669673732505,3.135839229359997,2.62740057441414,-3.2817445536810705,-15.098095956894642,-4.255054022604077,-2.733171334711168,-0.7171218741181323,-0.6436879392673296,-0.2003744040940002,2.0099604046091426,-11.754658229951655,-1.886418013636229,-26.73637317945691,-718.1135934792384
2023-03-07,0.3166565180380942,112.86971450118288,-3.3864724546154497,-4.748608770205679,-4.871095481418078,3.627133503026393,1.7023973023048589,2.4249045217475755,6.097380285802926,8.27844821927968,-2.5887899780532684,-3.2771365327118884,-1.8735478123084304,-1.1406530533483166,1.2100292170466025,0.6565583069728225,3.1357321760329984,2.603987525568603,-3.642184017364933,-12.10363666434606,-3.6430832909112607,-3.62629895327374,0.4052005037804124,-0.0830564403817999,0.3628291026001479,1.6570741899666617,-8.701146688355909,-1.4089986412808098,-22.890310832877436,-944.28372383073
2023-03-08,3.505759405607889,116.82665513339086,2.329167337440086,0.334323983020533,-2.306831040183347,6.444107037110314,1.6447668840770338,2.324540122973715,5.896554699231595,7.993176125820217,0.7955478249539666,-1.231990110657858,-1.502482297874453,-0.83044178806589,1.193643130709018,0.6465473927213847,3.2938153160865578,2.7246094894425674,1.0962160159264354,-4.4293898259753925,-2.689728537837388,-2.436263802197128,1.9918670123674969,0.2687964185046054,0.1014749705884374,2.167236788738186,2.5833865560582594,-0.5077683931308272,-17.752164871942956,-663.7867474251724
2023-03-09,0.0,116.82665513339086,1.3223639987362945,2.786808575293505,-3.5709815243540053,8.64688826929646,1.678567431835844,2.3267554265430057,5.903819729296749,7.989814957373888,0.1797290789504065,-0.1767808710643801,-1.7147575641542254,-0.5565950288170476,1.0398185765975925,0.5945778654359675,3.211159463497175,2.654270009551316,0.290134630472906,-0.6917947588856944,-3.152636813367477,-1.6754479651428318,3.0085147811003004,1.3348424858310208,0.1338295081121444,2.731310006196201,0.5956290766625525,-0.0729301993193314,-20.285206940383922,-444.70912864423974
2023-03-10,-0.8166197424947175,115.87262560307536,2.9645180808580145,3.59154040904911,-4.800022884782422,10.137057979145611,1.6997369310985462,2.3368490756313545,5.964621738011244,8.046594721222839,1.143613123323392,0.168348904856541,-1.903332918212552,-0.3689669976322734,1.0492866532169292,0.6061984444083395,3.136264384253643,2.583193465167893,1.8525361536261309,0.6489722735622163,-3.619803533031745,-1.1493246384704396,3.247183799507096,1.3435358305518146,0.4675373103746736,2.9550114105401137,3.837775714018899,0.06975291404065322,-22.74789908724609,-296.8927895453291
2023-03-13,-1.4879221785673913,114.14853110783883,0.3411696526679835,1.465902649236643,-4.841576891998104,7.696102263700911,1.6583579306247902,2.340485557012932,6.076486769874071,8.151401529900692,-0.4097468676935742,-0.7401164138460594,-1.8751320191049776,-0.6651483409924251,0.9265205027191452,0.6417331490669146,3.130942041594155,2.552677772814841,-0.7333965795620212,-2.69930231846927,-3.639228945949174,-2.124001416127753,2.244605749118016,0.4775651575822141,0.6741529084114185,2.3723389137937163,-1.3415679161971212,-0.3071336470764197,-22.83116294681632,-542.1891204376561
2023-03-14,-1.0511112634714492,112.94870304027714,-1.4088396552973448,0.0702286599384316,-6.564698573332834,5.668422269317967,1.710586124943831,2.358294111967164,6.171555091170471,8.2241763228617,-1.4202829311698115,-1.326342524683652,-2.1254507807862084,-0.907273844099148,0.8780167910902344,0.6741665018278676,3.135288076521877,2.5343166125372885,-2.767049901787072,-4.639663581522411,-4.183773952199333,-2.9442177942879844,1.8670332300984025,0.2169668421201162,0.0840982769776128,1.9165814719048715,-4.796655873492436,-0.5546089189953889,-26.28386874610023,-746.1580066991932
2023-03-15,-0.8757985897078435,111.9594998919571,-2.705728743298568,0.2823633241234178,-7.494027503328892,3.730838718739031,1.833683240992718,2.395040654268985,6.264772665238352,8.286533494249799,-2.0321968812549427,-1.2174202959899592,-2.2421668379334583,-1.1357190274103388,0.8012633083774876,0.691388515103193,3.120329432971092,2.512239139380575,-4.650662678041024,-4.217268639171625,-4.501661064618613,-3.746129742653808,0.9783920934572338,0.3282579857409671,-0.0587387970303636,1.9391597993956264,-7.357137037510054,-0.5171603269582355,-28.08357536847451,-941.1173760692577
