,BRADESCO FUNDO DE INVESTIMENTO EM ACOES - PETROBRAS 2010,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-05-20,1.919394840040512,129.08095432269965,14.235312763875331,14.093170284369336,28.604507180032908,28.604507180032908,4.724762775102546,4.597639067484889,5.259135017188259,5.259135017188259,2.817927917739784,2.4716107274030352,4.488986255825219,3.982704043021728,1.854221188010166,0.8516948722255409,1.241152260773144,0.0228276553902491,7.18039520568037,13.342306511989545,19.02118342432951,917.5527638593928,5.168464493045833,2.4437629839999007,3.375884007705797,4.490225260013305,1331.4040928659156,6.9420907877870714,2360.8184809687223,2094.5578295752825
2022-05-23,3.9155770133770575,134.13521849880698,18.8951216692623,15.59806395574351,33.64011570134108,33.64011570134108,4.899229480285554,4.764396691327599,5.287945006664736,5.287945006664736,3.667980623626506,2.699431990678519,5.413232437577489,4.906362721991662,3.913571496016041,0.8428431255747983,1.401390163579406,0.0046849771499202,4.591784977655487,15.25926290978717,20.42605705543866,5537.82343572022,5.543805934642444,2.248704368698748,3.685144370416194,4.7112380564744685,1797.0278804387167,7.856980002593244,2862.4875438203458,2594.457625664181
2022-05-24,-2.442402945925104,130.85909597066905,15.99872272575879,13.148584707876418,30.376085578513813,30.376085578513813,5.020326326502091,5.102159729580558,5.565511082443184,5.565511082443184,3.001858390222721,2.039211385537826,4.553386677094795,4.068615224757641,4.573104269905731,0.8210610096275702,1.5022592349760455,-0.009889541574184,3.295422062435714,12.671874671180223,16.869208339015014,-2289.683799165797,5.269475445994192,2.003406579745707,3.4072675406577253,4.2298535592117945,1507.0308704866313,6.356113459425192,2534.1924014020224,2264.392312358572
2022-05-25,1.264099557475129,132.51328522375022,16.767520414912724,12.983259780063062,32.02416909936519,32.02416909936519,4.941639926117124,5.284489763138268,5.660940718701254,5.660940718701254,3.204510111703484,1.9361856749489608,4.7644171109648505,4.28468913303336,5.1182189706062,0.7967400730236835,1.5868203714875155,-0.0290677168573877,3.0939542060593843,12.842021790083352,16.996935071519598,-834.4436303397081,5.7288436340631685,1.862693837485328,3.7475055000080095,4.388286640772863,1583.5535111639983,6.250653238527891,2697.1082824337914,2425.537118016532
2022-05-26,0.2161849002081162,132.79975893717366,16.957117506453454,16.040821634628095,32.30958541758323,32.30958541758323,4.856834650361468,5.507609241342235,5.807133575505414,5.807133575505414,3.298765955155724,2.4115746465215704,4.690364130268746,4.219661775853157,5.481505587340861,0.7870536225717587,1.704477921901307,-0.042457027141963,2.922839453349039,16.875611049179643,15.98000811406638,-577.1515630121605,4.88674809539735,2.03456195738742,3.7721698663280887,4.139607725774826,1602.1560794433065,8.114077891257615,2723.7571022229886,2450.413957583367
2022-05-27,-4.262467660010905,127.1392121599042,12.994702825368789,9.115417472606149,26.66993212806425,26.66993212806425,4.687443808957394,5.847978486432512,6.127327088129952,6.127327088129952,2.57188674031494,1.0857258997822603,3.521761755428694,3.072763315952897,4.963088225696645,0.7652623948391291,1.7783999406668198,-0.0528244276224597,2.4290470025921604,8.296894956433826,12.133933266938358,-356.4227148056225,2.832141007821944,1.3095399113176416,2.44949859406909,3.6068766811937034,1205.557457822888,3.8788350138771643,2157.8986201978328,1882.78259012502
2022-05-30,-1.7794758577653114,124.87680057376568,10.091738270017949,5.115200653393679,24.41587126679763,24.41587126679763,4.161077613895085,6.013011352402815,6.269515109415003,6.269515109415003,2.19871850763631,0.3894520208061701,3.0793434678809444,2.637698753342611,4.29425801538878,0.7690696971551635,1.8256162483501608,-0.0622019916067595,2.130528330760757,3.044950842538856,10.57505399418148,-265.86113661302005,1.8115595577157184,1.1197312466627969,2.3556181123722557,3.456808863714264,914.9038361382259,1.4306102373803038,1930.5990398957974,1653.7092188166614
2022-05-31,0.2004569009754986,125.1271247382332,4.6068286073890485,6.651349519945322,24.665271466660723,24.665271466660723,3.47584131553643,6.0577980869387895,6.288890246746662,6.288890246746662,1.0531427008807115,0.6389487155960397,3.1065023364874302,2.663396308098253,3.2632971549781487,0.7610791399946185,1.9167067663092128,-0.0740776110674295,1.1217356976800703,5.085702791718946,10.19271835881848,-226.1115986849736,0.4309847269661357,1.2780169732620132,2.221027886024605,3.5104503651817884,366.0556910876802,2.364591577082597,1953.6452245431515,1674.980706522017
2022-06-01,-0.124614251640287,124.97119850814164,4.661723619068844,6.557473967678912,24.5099207715672,24.5099207715672,3.267464744445655,6.121242275205729,6.325020552465845,6.325020552465845,1.136012259842922,0.6157966118636252,3.0612010860818426,2.6178189358814463,2.303171412481163,0.7083480313498842,2.014968247256497,-0.0862035569309653,1.6116386249758312,5.321452289893052,9.609163723081586,-192.07744043954503,-0.2016739593989012,1.1887632021823638,2.0281413796046226,3.510238180414988,15.619848037769815,2.302778717926315,1936.215978469842,1655.7758572084417
2022-06-02,-0.7750386935176601,124.0026233639508,0.8376464838849008,13.793672390401518,23.5449207083194,23.5449207083194,3.0541672930338453,6.210970332891145,6.391314237763143,6.391314237763143,-0.0367357502469053,1.770791207500372,2.8754985061378706,2.433935752901316,1.6070235114937357,0.6741216806989028,2.148415676369956,-0.1000376541359928,-0.0698167301764431,16.315054047997183,8.554310390249126,-155.5019294052197,-0.890307131670871,1.6647908238093374,2.322098719812418,3.450519458747219,-0.08342527113625102,6.7189615343408855,1837.821454294562,1555.6048231318937
