,FUNDO DE INVESTIMENTO EM ACOES CAIXA PETROBRAS PRE-SAL,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-07-25,2.129989239199004,208.1299301663477,0.2938509628728348,38.32750205427993,35.55614109179794,59.7030629341209,2.033861347113328,9.56418974284063,11.654339123008535,10.008076211117386,-0.3573624418473964,3.673010320003826,2.48864416693327,4.608744465783917,23.065577003934063,6.94305359288989,5.927918588147689,4.970545207008345,-0.0315112714179873,5.059642296856674,4.89269591791074,9.279598903173898,-0.5885461191624501,1.890477108349115,1.5948061777728468,2.7005015113541244,-0.25722740384510506,3512.936762792838,7.931869593946279,4612.466585113092
2023-07-26,-0.0017560628828072,208.12627527389608,-0.1252220339977412,35.94499446594184,33.85152334408237,57.97916050828283,2.061068341038268,9.446401931522423,11.791830714937545,10.088075975179114,-0.5559731482153479,3.4665960941503853,2.3150676082586905,4.401114371618641,14.97618923579841,6.860289286761882,5.83527075212655,4.937236324811717,-0.0765147018518519,4.773393463564435,4.678255129853793,8.992637426168718,-0.5339030112499685,1.7859413396875212,1.532150834806274,2.493508181087273,-0.39029516770220396,3274.6860039590288,7.465691227627094,4439.877615634154
2023-07-27,-4.805126582565922,198.1255442954057,-0.4798619415670341,34.24452703095064,31.00308915894373,46.03314828852103,1.9491847287750288,9.738648484184152,12.46755859658941,10.639247338145807,-0.7698288108209945,3.187956999887545,1.9611258255302515,3.0501007826474056,10.576480426455632,6.463248079123669,5.5289063164022725,4.679506571687958,-0.1418750379445632,4.803527920408801,4.422294346451035,6.934657775499701,-0.3512751170926197,1.5973258346556545,1.490552829450141,1.9638498314077584,-0.505023017023701,3104.639260459909,6.6867022743704485,3245.077663285785
2023-07-28,1.1585257636410162,200.420879770422,-1.0153336418590202,36.22590192441958,35.5144125151044,39.72104658894776,1.9263677892089297,9.353421166205887,12.405245982640736,10.575096763236248,-1.056916687208212,3.531089524483092,2.334639276139423,2.4715317675062383,7.57331566009477,6.707761394333336,5.515122400564017,4.601445247577637,-0.2688400105707242,4.923813707203364,5.251338483128136,5.680104008311314,-0.2823774402992492,1.7642939830857025,1.6383623993886305,1.591348743403254,-0.6814148403164731,3302.776749806803,7.941411138308918,2613.6687594790783
2023-07-31,4.18002538588973,208.7985234234492,2.9015959833801985,39.958850204946486,40.47132220427997,47.58974816689327,2.068844689197126,8.742267019322144,12.02195737117514,10.252200103929516,0.909164120895829,4.204940857714191,2.821394482045472,3.3166931443756336,5.517487626569017,7.036258691139799,5.6209486115852,4.644621501518684,0.3409014193464601,5.224469052691991,6.034334510817348,7.321027512866625,0.1076853784217743,2.0181228709149948,1.8275052416653292,2.0678448992950336,0.6295087953729838,3676.0715778594936,9.340358864535023,3400.340179947018
2023-08-01,-1.51814436480614,205.62866040629768,1.4647187662855308,32.828502391861534,36.64993971849643,44.70617739170245,2.164930356283439,8.613848303661536,12.300159241902003,10.493998799489592,0.205106896275192,3.439852539882185,2.446903419112309,2.965298949505684,3.304080513649451,6.991889633679989,5.50762847005129,4.512753616829806,0.1343920477103582,4.237819748009216,5.464657223757071,6.89553347211111,0.0108553489258252,1.7309503580777728,1.7074956771756105,1.832407144578775,0.14861266353143926,2963.036796550998,8.3730305196875,3111.78436162404
2023-08-02,-0.2130763219588383,205.19051441981068,2.7006167972214263,30.087300236588018,38.26333750730866,44.18934599961851,2.2210130394016683,8.430175587853602,12.417259820526404,10.597402903606644,0.756384652931937,3.1896329477382435,2.553759843297199,2.887407892261101,2.389218186568281,6.770528499583087,5.446697647743546,4.45062522698694,0.7031338478877458,3.971501753798428,5.822004734664352,6.875219372730691,-0.069963869509255,1.6032803373675748,1.7448700454129735,1.9145140571375363,0.5621702726718824,2688.916581023647,8.869363978600965,3059.9024781344538
2023-08-03,1.1753895725596486,207.60230233018265,4.397571882716187,31.23668749131094,46.64143761105588,44.48492383562126,2.325398118694995,8.17301102364905,12.366847209292304,10.562547210762222,1.4529394997970868,3.430848019028305,3.241785333488658,2.9249197187841487,1.892266007997872,6.766104738370302,5.429022812774199,4.387162952754895,1.7855115322716255,4.144239523956394,7.38450827840468,7.042045839201581,1.073264298883981,1.8605419944300403,2.1230777289165927,1.985308920024,1.130625841329772,2804.035867998284,11.286825321538707,3089.460261734693
2023-08-04,-2.7517020947223525,201.8897054282712,1.3676239665303274,27.90629248068232,41.06307079007783,37.860372013654434,2.38283641508236,8.18580952268821,12.7513209782272,10.929080873968568,0.1470861982055978,3.0188546635849685,2.7067126156810075,2.2208672914119214,1.952173450145217,6.698360795424813,5.345426448234796,4.265030407507917,0.1795344308233721,3.689226365600439,6.45676480494142,5.690941428099855,0.0159602716142337,1.6686851463946202,1.7678210429928485,1.7522160828611109,0.11728438937334942,2471.176925278555,9.77930604197262,2427.203823819241
2023-08-07,0.582305600571309,203.0653204899569,3.247494324141922,24.57589705089858,36.46672406294499,32.01557768675213,2.3702821459356174,7.900481525656193,12.71966483300648,10.939584024345075,0.9417107434972674,2.706566594124853,2.352237992603363,1.6846373023248742,2.1181316795984,6.700736412080088,5.341397667935014,4.190809959115176,1.053815578817338,3.191168561158741,5.6014700146723415,4.397534485963668,0.5426478646743012,1.4430867970672194,1.5323385838062642,1.3894342651091252,0.7469501695859355,2138.31793748416,8.852485156152824,1842.9231319328976
