,FUNDO DE INVESTIMENTO EM ACOES CAIXA SEGURIDADE,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-01-02,-2.752198590015875,108.4378872005972,2.105882701740558,-3.487082050070116,24.155806541282228,9.24970239526409,3.510704163939419,3.605860783576167,8.558597062455995,8.049400822778189,0.3091135085180579,-1.853986295552848,2.06135561757367,-0.3924935684701507,1.2805448252697418,8.49918553842775,1.9217125479325785,2.234038942437356,0.8474565357410855,-0.7865714245436222,9.1805156563208,-1.4141821760420672,1.881120400677231,0.6831641076683075,1.929431986357796,1.109318983106526,0.8599255091335112,-1.826708219554609,6.18425462773752,-8.97131057380023
2023-01-03,-0.368763207562417,108.03800816954336,2.242087140776013,-4.71054241734763,22.0893660222285,11.062977166223687,3.5311481844532246,3.610877033783303,8.427352716435573,8.078695742966083,0.3458961382298521,-2.1902371002129777,1.8480308684249416,-0.1688497884325757,1.0633464868632043,7.935208108639981,1.8911943763830183,2.13987277612043,1.148647722646639,-0.9966565130268088,8.23501177539646,-0.6374612931354026,2.671959826981389,0.8032867833010162,2.022893158825152,1.6836491807308929,1.015644972423062,-2.1610137902249833,5.59485393693113,-3.8812524971653106
2023-01-04,0.7387450401323159,108.8361335963536,2.353871445695799,-3.2413143663031128,23.70908598486628,11.177789830138492,3.518277178914404,3.558369989762168,8.21714372619589,8.015725447363591,0.3789339945782439,-1.8096625171586105,2.0921946611678064,-0.1581016074018187,1.1440916310477198,7.905026954428577,1.99701674270198,2.193658880036609,1.1652867561128966,-0.81460175022517,8.60877320975028,-0.5777101851399505,1.9310819564982145,0.9906688621684908,2.351029606997216,1.1138423168990423,1.11281418519846,-1.7595531992764346,6.356768748547165,-3.6130676992291817
2023-01-05,-0.6132136122064202,108.16873561014158,1.094698385744892,-3.3949188724973545,24.95006177542057,9.254287136851092,3.544609494840286,3.567339764411784,8.104019809011993,8.061549199195547,0.0208829112477278,-1.8481708315596983,2.2743005000709973,-0.3980414007827048,1.2646244333781504,8.256363296366306,2.1544960442307435,2.313823150982799,0.0585326074167894,-0.7985420532246399,8.554657760256863,-1.386808812230759,0.2531328395840795,0.737445099117537,2.1865958428129866,0.5278290470016581,0.06606894948918805,-1.8015250060257408,7.063482983946827,-9.16657602569082
2023-01-06,-0.492692093316105,107.6357968023504,2.6403289874605016,-3.757897255405684,25.44934399670461,9.817050901871408,3.563805844815999,3.579606954200169,7.947829840290745,8.099324626785865,0.4544726726794613,-1.943238956331589,2.381580274480923,-0.3289284167193279,1.351991230869792,8.393616974006077,2.315057984130173,2.3929648822590504,1.1979754973427037,-0.8287287474874236,8.176207638133603,-1.1133042719245951,0.5088769412102183,0.3886480827689176,1.828060175360375,0.6034032885708078,2.298387928524347,-1.9007073732561575,7.595630463302311,-7.610454446028288
2023-01-09,0.7389053150261171,108.43112342579369,8.210078195100138,-2.4889431232817083,26.944932104427565,11.191032468887926,3.511845433364491,3.5438512344033897,7.671398977504595,8.036749821254656,2.0471862191144643,-1.604773218024397,2.662111455111091,-0.1627711244424523,1.874981945595364,8.19409948407168,2.4733949012203422,2.4189625043110503,3.834384427931649,-0.6940454604789993,8.25671593511674,-0.5407900299971268,1.8196988506683989,0.5130635171832518,2.0344646570998486,0.6680162972777733,10.24572198023836,-1.5539708163227923,8.613718183412432,-3.736957880275607
2023-01-10,0.367280521656621,108.82936982155007,8.320468743108165,-2.9120052280632915,27.605048222208023,10.756885478240182,3.15239864142542,3.524976530691231,7.407957319360505,8.00347272307875,2.3156310331205856,-1.733384492411549,2.845638883376337,-0.2199464025942132,2.416381944878474,8.179444791569708,2.704930111898446,2.518111487334516,3.020959554148217,-0.747011540528077,7.79331462267223,-0.699069537848557,0.5081582493997514,0.0900035718929031,1.863476826540269,0.6401346256083111,10.403041174661153,-1.6695708162498324,9.115323359389413,-5.028699940118169
2023-01-11,-0.0006429338356706,108.82867012070834,9.044254943246932,-2.1310894036677523,24.07016278744627,8.569745174237402,2.73614119825396,3.5105106003263926,7.157878142324798,8.001367454662706,2.932443080097915,-1.518076552602865,2.450952888551912,-0.4956047188071205,2.5803458379370485,7.924725103789976,2.9483040042475124,2.6036531236567644,3.109497263903735,-0.6724805920991024,5.950411519151048,-1.5230582873770413,0.2435113815643226,-0.0900831456154177,0.920873407057322,0.3381918264626068,12.918385521717294,-1.4559073374746663,7.773329173348988,-11.328177313904925
2023-01-12,0.4899187326406595,109.3618421621134,5.907065304545929,-2.769389857050528,26.524584764555552,7.77158943201531,2.0503956620532926,3.486269044305771,6.913696947320594,7.965167757469732,2.383144275381634,-1.7117222473546665,2.8922558155100373,-0.6003281258360229,2.439544748718545,7.420299201220609,3.1341558540948293,2.5717365645222245,2.0029920282693663,-0.8042161268133833,6.380084824574573,-1.8593328328322247,-0.8120825518327337,-0.4085743267856272,1.4289385242837085,0.2854096861480716,9.873039349997034,-1.6239397373109032,9.280573060543203,-13.659789534837651
2023-01-13,2.06613861555065,111.62140941370237,7.819579023729697,-2.094212170456155,27.25601580171766,10.40267753864003,1.7449335998338575,3.4065283492788576,6.534608598612514,7.81411868780459,3.896367405682807,-1.5535894770780536,3.1716891702023915,-0.2775325186187369,2.7209441441826563,6.772755282677811,3.2725487822071013,2.532603941189912,2.4987291334184034,-0.7814170711798136,6.333212643434667,-0.8563012972305587,-0.0071329758040789,0.047110117110818,1.7402320061563674,1.06930485415053,13.736922536633816,-1.44020393282396,9.913262382238468,-6.195184865358095
2023-01-16,-2.370022274134831,108.9759571478944,1.9826216397907808,-5.57931102347476,23.699630532867992,11.6132779715844,1.3321942913801612,3.443736656746913,6.459864909266583,8.006787501080979,0.7220756204696772,-2.5488143620475974,2.6575630214261654,-0.1219116175497508,2.974232113474383,6.279986072846928,3.347153639969436,2.460238737989647,0.3234263442911941,-1.3976854961156306,5.128984191604699,-0.3967584123285262,-0.9233873275746473,0.0105881571635943,1.723724794706866,1.435542854792748,1.4780519382312842,-2.388602338443356,8.333764864109241,-2.788455936892461
2023-01-17,2.793214186728643,112.01988904307272,3.2880574450377176,-1.74440778477094,26.238493306552822,14.442017649580857,1.2932125209384195,3.2891920831914523,6.057683957716096,7.793001478858,1.7532932817075604,-1.5026614700856324,3.2528103209547936,0.2354121919736563,2.864022942017912,6.233758733932697,3.679591546259097,2.575207630946888,0.7916769071632835,-0.792867100264624,5.355077228279324,0.7123959785399315,-0.3839705283844205,0.4197184529573846,1.7845306555917104,1.6030699036420817,3.305454350534311,-1.3450118204466648,9.614295600346715,5.240757925880768
2023-01-18,1.7767372038380858,114.01018808739911,4.228643558951925,-0.7779858108120205,26.83633480190354,12.22184802746507,1.5144029037573845,3.231801003229356,5.737875729166484,7.667971297314345,2.118304799030925,-1.2303109731046125,3.537977352327188,-0.0526419104495677,2.474448853225029,5.929571357853507,3.9562154091022057,2.619658395915829,1.2964369558556803,-0.6705577852431679,5.131286414170686,-0.1540875172856115,-0.0888648179383899,0.6164865782089033,1.8900066034468417,1.3393251373476545,4.663672838032087,-1.0820198371735588,9.922069633729357,-1.1531147053693427
2023-01-19,0.4650958218090917,114.5404447086303,2.3480141966650194,1.4888852778968384,27.6090894044716,11.253467895967054,1.757210136316997,3.208922245252474,5.513169119898663,7.651908618715922,0.7553664464915661,-0.5326552087647206,3.822005905882096,-0.1816663463064486,2.0990570442405883,5.5652791635723,4.203427296513434,2.64890087224109,0.63234945427076,-0.3071272973407432,5.012901009102096,-0.5247815407516035,-0.931594398195202,1.335919196746544,1.9054326788223896,1.2480387698036548,1.4781363841108384,-0.46513721290766114,10.411669157735552,-3.9710435195326728
2023-01-20,-1.7422202312168067,112.54489790799084,1.5322155580266748,1.213423605145895,26.651151113363785,10.507756301726324,1.8188517654202605,3.261341055190694,5.384238403694823,7.800799280564291,0.2812427859684269,-0.6085566604715641,3.735265985326359,-0.2761084068665428,1.7284453370725004,5.371323103622234,4.345606692171805,2.607206225528932,0.2959532053450928,-0.3695012910072819,4.6280218139479175,-0.8261204044974687,-0.2088961081269385,0.8640745298337434,2.142210262372915,1.2334640582695682,0.5636215261103694,-0.540098475776853,10.158582901233606,-6.152889611112593
2023-01-23,-0.5918661918197787,111.87878270665536,2.911626769416892,4.825278327776192,20.19184872678205,11.751529399222315,1.8575873378956176,3.2873385112276985,5.148050373823695,7.857344114610981,1.017960292140439,0.4949730293571024,2.6515661418849827,-0.118125976492438,1.54949762177998,4.547164941949284,4.471361699048906,2.5986526929646434,1.2203633762202104,0.3578370088169959,3.0528498892972102,-0.3571683313773864,0.0525685387661393,1.3799093026384843,1.194892860031113,1.3251427742706674,2.083478167886656,0.44279394843788544,6.976616028470425,-2.651438604552085
2023-01-24,1.3068979570989514,113.3409242322758,2.872333219019972,3.4704116753486525,19.94754049901261,13.212752947318702,1.9054571850172828,3.267058647952132,4.90628428501243,7.76814732955268,0.9717649986173206,0.0833401779205191,2.7320519801171144,0.0662964928339071,1.4628820911548537,4.168115271103262,4.756340294530754,2.665391453747506,1.265759291168789,0.0653238289460819,2.818180127124001,0.1932177440737041,-0.4157579067831046,0.6145285552295828,1.255256811244387,1.7157367493094622,1.9569275361964062,0.07409468704499554,6.863378471541705,1.4711887594820832
2023-01-25,2.2290152678903,115.86731073818122,3.9099046525417616,2.896255148719493,21.145316707653592,14.60444100816534,2.1366227023428,3.2774228381823844,4.661274262189133,7.620346503495824,1.352240631496353,-0.0921087368145259,3.1322198408378545,0.247839111909473,1.2946478534646315,3.799707184699957,4.928532149734829,2.726833753288951,2.231670971031664,-0.0794480371665522,2.962369988476421,0.692605446735034,0.0872581964258647,0.6160634557189891,1.4537428983121248,1.921538322492301,3.053487292678933,-0.0821502739722288,7.481879873253742,5.395167763996708
2023-01-26,0.1136303019506401,115.9989711132351,4.0286305626235785,2.548032553403745,22.265981973627312,10.541972297972448,2.362506808216535,3.335482286234633,4.5335630555995925,7.634916890739947,1.2732043488323344,-0.1949049094431541,3.467236827035172,-0.2870916348520244,1.0473320071249188,3.5866748072305423,4.973731073924889,2.7202612787064058,2.872015675931234,-0.1812547576482918,3.16039137428812,-0.805775823550381,-0.0072319146445513,0.5474420681635491,1.734853022765649,1.4747852400739498,3.1789286046094314,-0.17691193443762873,8.055212564302684,-6.261598868672201
2023-01-27,-0.2312250302100582,115.73075245723516,6.725384867695753,0.8274253295374574,22.313761527592423,3.80605970940923,2.54172036805038,3.390834732058739,4.395327807328031,7.676707856745788,2.244427954840385,-0.6991520625880583,3.5867295425829773,-1.1653313369402554,0.9681749904277716,3.14415783600373,4.866496674321425,2.631144664965639,5.892228475060006,-0.7540044808397084,3.239466324731051,-3.400006221291583,0.4090024672420414,0.7699456676780948,1.8850187372239453,0.5541405403672213,6.028968719668738,-0.6451400153710024,8.101228427876109,-25.555526260192448
2023-01-30,0.4587858549257362,116.26170877930808,7.6118587792356545,0.620402742004408,24.04942372024584,3.4797030710504004,2.647708295251973,3.4075230126418456,4.215106726262782,7.658711701879413,2.489391361880409,-0.7564825460558322,4.151413273771064,-1.2130424798963892,1.1256584688055795,2.812478443305293,4.937209652864082,2.6279047353539937,5.855401386508625,-0.9165338459688708,3.544238799666532,-3.535266142137316,-0.0632931255126911,0.8907838623432344,2.3920278663330645,0.5408795773307605,6.960408175686533,-0.7014769803249483,9.378555553722455,-26.539462409815197
2023-01-31,-0.2290976021987134,115.99535599221944,6.577983027601504,-1.06231554949478,18.584324407242907,6.1665727697862085,2.6854674344541283,3.425472120443,4.027965477149191,7.689720337400874,2.069400036673631,-1.2437555542841048,2.9870381118305502,-0.8610916017926948,1.5711863937062174,2.433279225889082,4.960322471550683,2.680451703051913,3.5370128137606107,-1.7509087861832338,2.42558552642265,-2.4703125951238745,-0.4304519443932416,0.3773455559624825,1.4767247856406212,0.9620374142292174,5.686164810265856,-1.1593943628927779,6.7146852264354076,-18.915607295056013
2023-02-01,-0.1153145110292741,115.86159651464034,7.11190794743606,0.8016249620797056,17.98753400075701,5.804863016948394,2.711959839674189,3.394387074241341,3.916302725849321,7.718730690913382,2.246062510981565,-0.7060212674205621,2.9198192242446224,-0.9070593599553562,2.0503018520477574,2.032401014833648,4.802825427811492,2.6206363499864893,2.970894905594559,-1.1791518734643025,2.380868544728058,-2.671620929093712,1.4392608505650504,1.1848453964241143,1.9875896032339195,0.909359883628245,6.232469956671774,-0.6521610579276956,6.662018338086935,-20.000552260867032
2023-02-02,-1.7216494015242725,113.86686603164956,5.789030614732347,-0.3791314461784483,11.45559371487126,3.284602228314045,2.63777077106821,3.434266321264666,3.8554884681423895,7.865917824520246,1.8077211434657885,-1.041639039575904,1.2716821076041251,-1.212011578312369,2.035289316863612,1.664459346364347,4.4923439571244135,2.527828468546286,2.3428384136679443,-2.149205915028064,1.0914025612921092,-3.771451898733775,2.4143266409324435,0.8355141333395829,1.3572900670556105,0.7535439837287208,4.878918796063447,-0.9734797757732407,3.088114539420132,-27.2343217307613
2023-02-03,-2.9204675451829587,110.54142116447828,1.946210342576414,-3.7195677500679256,8.884600321322605,-0.4011993847363423,2.5476753189918626,3.49417504576438,3.90149364307092,8.103229841814672,0.3632855864405699,-1.979781231854734,0.5977101389370814,-1.632850405167049,1.847084460733117,1.2599436829950996,4.242193840902931,2.4538270336424817,0.5010781813154208,-5.490485225478433,0.5497066835978698,-5.392133165444862,1.2465071511387729,0.5827390988339909,1.53420105543456,0.4691280798651065,0.9469942624749265,-1.8825112260398302,1.5475747375672588,-37.79766276237619
2023-02-06,1.6834000947354433,112.40227555308302,3.2830344762553656,2.960545641967742,10.024820935705238,1.6151555336730226,2.341116496803836,3.397325186814438,3.75549629215567,7.973006933316013,0.966358512738566,-0.0699340720476006,0.924560338162828,-1.4081243898713387,1.8441623332857568,0.9989878528642352,4.102980529698966,2.4641313771048976,1.2267671967728666,-0.2378295028339028,0.8462586884611526,-4.55616353402639,2.292651166741992,1.4761175328313536,1.811079729946406,0.7312518597360391,2.314815611391814,-0.06465493055024464,2.5019624776389335,-32.071816073883895
2023-02-07,-1.065299939825315,111.20485417925374,2.1834173438946176,1.2483078246188155,8.992017456424724,-0.9071704592823178,2.236006904806658,3.4405431823833856,3.720473944707373,8.060323761879289,0.5200076623819138,-0.5667205724132263,0.6556636274887402,-1.7072876358336324,1.828084564569664,0.7160588007914362,3.9277602540033487,2.42509878669722,0.6360431821227269,-2.722997887293133,0.6210611862263881,-5.674528054263002,2.606281905706654,0.6237010626568291,2.0979895329942555,0.4865791691386457,1.1897014311603746,-0.5306054485989469,1.8262576635146122,-39.31149605216449
2023-02-08,1.55548704267654,112.93463127683938,3.2669430617580724,-1.3583754090864406,7.587368875724095,0.4144467151279489,2.0200578531371574,3.411305256299249,3.5857129699047023,7.939078409562559,1.111981242523982,-1.3357086197501764,0.2885704657757503,-1.5684005293292322,1.7873812792081571,0.4821474472490146,3.9671460476569815,2.523502986434801,1.2567360236070733,-9.4504489475907,0.2608249984833976,-4.934273843493986,1.9026951246893289,0.1475726540303293,1.444003676654053,0.4272921013628855,2.2983510819678155,-1.2399610012139362,0.8493338400054768,-35.57029454477954
2023-02-09,-2.007279861630995,110.66771716641216,-0.8543990371556206,0.8853377104110955,0.1771588992364599,-3.615315880223846,1.970525173894684,3.43381170139132,3.619799620945893,8.096723289754177,-0.9515613818350154,-0.6735362672925108,-1.7612795685519476,-2.0370462113932315,1.5666765899328683,0.4449868572487576,3.777497133280415,2.4387396365343883,-1.1968492217607312,-5.197449493766848,-1.687752204615853,-6.76308337922096,0.6755632896681705,1.166300899876112,0.8979158771115956,0.1796969944402879,-1.9185534210727575,-0.6293803448415397,-5.9222629881564215,-47.11623384219784
