,SPX FALCON SELECAO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-02-03,-1.0707528456276982,121.77902294183542,1.6342822578353955,-3.0014443711085805,10.147686301069768,16.473813751014017,0.8660606792754532,1.6354769002467493,3.0194342891262176,6.508885897257772,0.7085019009204406,-3.7906856382531497,1.19063637190448,0.5597964172204399,1.0180562640913209,1.4425626958199231,2.773086991000414,2.124637367707352,0.6027227170266352,-4.297614804142996,1.2964066034986803,1.714951954042553,1.1742684115078623,1.3158660454930513,3.23634686608902,3.2628040694385785,0.2338949507262577,-13.656125874947483,359.50482872092226,364.36510053815493
2023-02-06,0.5359724864694826,122.43172499909502,0.9740813438964572,1.9049775598558345,9.59787922970814,17.52643686997299,0.6774163912585938,1.5593164867117455,2.9288905636571774,6.479817331081987,-0.0687838041138344,-0.8293100711214175,1.039725162023512,0.7229055347617692,1.1418618195004515,1.2986026373286628,2.740479717850406,2.1332407383996266,-0.0408064054372327,-0.995806437876833,1.1112073539578096,2.195858971078247,1.3744190823702898,2.305635686037711,3.073110000874789,3.3768149943435626,-0.017761244683567913,-2.848502055035252,304.52412158475937,468.4295812884404
2023-02-07,-0.5910440895852465,121.7080995247106,-1.2913677933634726,1.723150988045569,9.718092733388804,15.7615421166353,0.6504932093996426,1.5697099557760965,2.884101174942788,6.519372692304542,-3.5542944648931982,-0.93965349004665,1.097553285241823,0.4459664470290202,1.402417370265247,1.0870581718347476,2.6640768372086154,2.0963810132441467,-1.6486136457240772,-1.356857872487624,1.1881994825813584,1.3868764590392106,1.238715447291691,1.3141741715624682,3.8346491583872817,3.256100537597012,-0.8833615403123364,-3.249020643986557,316.5454719528259,290.7421476445075
2023-02-08,1.641768112632902,123.7062642931988,1.0983887248767283,2.555617927733565,9.294803125805757,17.585882849083585,0.6558058407677391,1.566919137216501,2.769921232687915,6.425790217890874,0.118498646687049,-0.4100508337394884,0.9899794548613322,0.7345059819834273,1.4950542283572703,0.9376826469823104,2.732535237569028,2.1805921282903906,0.0519794554247223,-0.6852174354359224,1.0035241537762385,2.164449413890071,1.1362336507515467,1.7863082264717347,2.928702373959955,3.283760054738183,0.03137175116429836,-1.4153035986013152,274.2165111945211,471.9781354011438
2023-02-09,-0.7442363616118164,122.7855972927372,0.7838948010823523,3.276251400845066,7.893766446856841,16.90760177625926,0.6558758503016616,1.590317708592348,2.749252512643002,6.481547886067994,-0.3610162183361864,0.0491203575684629,0.4878156614675591,0.6216907172824284,1.166071050163554,0.902813273554515,2.61951681266896,2.1019639517993483,-0.2030595126606782,0.0865261696762125,0.51197550117262,1.917025337632752,1.3032010591731469,3.064202649430507,3.906500621085196,3.5888813529602555,-0.10091851658829509,0.1720722119203552,134.1128432996295,402.95181543900185
2023-02-10,0.2841399935389566,123.13448028095156,1.504795773613936,4.066187030687677,8.855668551367172,16.49297527821319,0.6292940730969734,1.587008843429507,2.7081568837794965,6.471063905405244,0.7693051214913396,0.5469740184057666,0.850405141334546,0.5567721645411305,0.9179151920363045,0.9133906645338358,2.594515483097262,2.10506150501801,0.5274116362358884,0.9503629038940866,0.8876534183397246,1.7115453628827029,0.9540800273092358,2.358028530060093,4.262572129171532,3.5419977966269305,0.21769284744759176,1.912103389305513,230.30305375066263,360.2908257496459
2023-02-13,0.2638428043991947,123.4593617469072,0.7834904511365994,4.080090847223277,8.39814353533401,15.705199315136143,0.5607618525197973,1.5773989800046444,2.6584110480824803,6.464818154437444,-0.422971298874714,0.5591206993611273,0.6942137570503374,0.4336003823189461,0.8936804577878001,0.9049455791291752,2.635367675069531,2.137386518668562,-0.2654037772145266,0.974596087557473,0.700283887873358,1.3114837203767429,1.182300929502594,1.9186410896431905,4.036034817964181,3.352906493792544,-0.11991137043276139,1.942730029429858,184.55055214734637,280.31476233865396
2023-02-14,-1.0539692177158777,122.15813807770633,-0.3618347286742442,0.594776534091217,7.154832123021575,13.869626980005172,0.5800868406311537,1.5763539960058863,2.646135866642553,6.541780172684832,-2.3832834191279275,-1.651505879299089,0.2275749014827043,0.1460748175079983,0.939880807263885,0.8801186211382066,2.593844133332252,2.1023926685601366,-1.4709432709400707,-2.957962517476976,0.232162797071158,0.4545246752391083,1.3115814328905544,0.6047925755513094,3.974304729007347,3.329566154071225,-0.7412132174164521,-5.734548142014114,60.219410916102944,95.55893449023785
2023-02-15,1.0417654143008326,123.43073931095373,0.4550264970989825,2.462500729622472,9.35795809236647,15.993397925649411,0.5760710999882461,1.5775056724891263,2.5842330676004983,6.488334549429463,-0.981910259287174,-0.4663271324839876,1.0855522722301163,0.4727519907257919,1.036343470709863,0.9225377017504136,2.680228625436209,2.1780139714994857,-0.5458133708989873,-0.7974023124835928,1.046671933835255,1.4083348935663322,1.238394051551419,1.0334691471774713,4.233935511674503,3.485296509461374,-0.31687077750214887,-1.620417561996452,280.53200785059244,306.7373074737713
2023-02-16,0.5533194103774397,124.1137055499336,1.3068880337037156,4.118773090480916,10.480041654975471,17.212668276019507,0.6063062814376738,1.595390414614757,2.5211641708487926,6.466723853037861,0.472057476905504,0.5770616744940604,1.5577738596026052,0.6610232683277919,1.1026827626080282,0.9506914633003476,2.7043443781486367,2.2011720047367427,0.2595591616672134,0.9683884831923772,1.4522572172570645,1.9419904157919825,1.1647995739271575,1.3246868900587645,3.8728979713728,3.4139896315931515,0.1700914082534691,2.027937363719742,392.74036411149257,427.4654936708378
