,BRADESCO FUNDO DE INVESTIMENTO EM ACOES CIELO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-09-01,3.744425614597669,185.8283376412514,-5.753164105465233,-15.668750924880854,-20.83643165737292,-24.09450036672675,2.9601666550247483,9.248073257710844,12.258876985317016,11.25189047016182,-2.2763908412372227,-2.035793682964467,-2.230878283195416,-3.345490492231895,4.963130729493431,13.26284382911431,-0.6111819807272801,-6.674401276625144,-1.3577108138600125,-1.4195423968056806,44.74618576019666,5.639920500344108,-1.0491044192526398,-2.824567348021992,-2.2570904305787103,-0.4752476796552655,-0.5085861187278312,-0.7179082156033849,-1.7575619587741929,-4.055386725712706
2023-09-04,-1.2975528440722917,183.4171167610951,-4.691482251987138,-17.46561899244841,-25.711122593295404,-26.16307013645408,2.544556880450642,9.471348297301049,12.564619702430544,11.508556606919075,-2.2309638476427778,-2.177328044303833,-2.5644142482641383,-3.4504479580625347,5.416286705338978,14.209397911327065,-0.6512252223903413,-6.565362812225919,-1.04810079624483,-1.4513093653773927,49.4773369966622,6.048359668812859,-0.7614595346989022,-2.872882096857592,-2.377405096532073,-0.4970472031931813,-0.4345519815935444,-0.7867515728435702,-2.027500503803837,-4.178223486258222
2023-09-05,-1.57621301814721,180.52607228919643,-7.614510713208856,-19.446186591779288,-26.45912773351037,-23.283366524259232,2.376763498939099,9.735643531436333,12.888464410678472,11.80952343192498,-3.618299790288956,-2.321469033134829,-2.557871156826362,-3.11849885956461,5.644085594416337,14.743712161681993,-0.6799168790858401,-6.399225458423333,-1.5236910790802969,-1.5329243224516729,48.486855358234784,5.755069202317715,-1.3808374196671909,-3.078732967962094,-2.4691653515758167,-0.426100367557383,-0.6647326773281219,-0.8625212735312294,-2.0286320776058524,-3.810617384729306
2023-09-06,-1.0692601247217048,178.59577898348178,-5.872257453889706,-19.624353016892943,-25.391095066185205,-24.81971723786677,1.896530324657048,9.947728110261608,13.166166641139574,12.077661442411763,-3.615860775492057,-2.289704371847563,-2.422659233263873,-3.176306076123132,5.372251028220472,14.542254270610927,-0.6993532737634177,-6.204467849763434,-1.2764834655781478,-1.5662878753295246,45.60947431932375,6.183020099999913,-0.7491868088049964,-2.9968955610101338,-2.3913055674715835,-0.4647611379467598,-0.5386614878928099,-0.869691771931608,-1.9229511454249706,-3.8932509813382534
2023-09-08,-1.0807939742210393,176.6655265660152,-6.652211599370525,-18.58326669819173,-26.04833234033739,-26.869892925558297,1.8146109672793704,10.1911648698486,13.481985612004657,12.35782442782488,-4.20891524059857,-2.1326772432297845,-2.4145188920046654,-3.2700366266069163,5.129404122184441,14.261728508445652,-0.728795554276628,-6.081223352352221,-1.488972904846281,-1.5239713325813211,44.66617389595712,6.645133086344247,-0.8063871456043701,-2.4032657831020523,-2.39969029887828,-0.4828718878370753,-0.6038518350066638,-0.8314212657270749,-1.9230852722159684,-4.019000406779361
2023-09-11,0.2640664967556105,177.13204103299293,-2.515620875660137,-17.645462517681928,-26.56791084414149,-26.8083361865079,1.6337644128005522,10.314574528386457,13.60756954796294,12.463385577998215,-2.1428750710929205,-2.0160653615310653,-2.4302814613356443,-3.2372419948783024,6.778884504431758,14.799368744030383,-0.7944779002859509,-6.154972539733365,-0.5164497241309077,-1.4051177982843746,41.6251024658421,6.555186872239767,-0.4521640848704177,-2.4072479687253048,-2.511639217381429,-0.4675602821374722,-0.2820568983898771,-0.7974038033884817,-1.9115200465003883,-3.93958825694043
2023-09-12,-0.2772211131248925,176.64099361714042,-0.1910307609544302,-17.506700766989937,-26.19427968304182,-25.76746345521552,1.7443867739733037,10.497424236807207,13.795081648624178,12.635436100265702,-0.674370463635127,-1.9675578929417328,-2.370027974538325,-3.110627572279642,8.768235264347984,15.263136690005387,-0.8535636327643756,-6.196357143522843,-0.1341618788796078,-1.3532139777148635,38.30379852570978,6.343103699622822,-0.2869746480473223,-2.551140651500328,-2.5446808457375782,-0.4492938997224593,-0.09675106069127667,-0.7953298972715933,-1.848884825272723,-3.77491291000829
2023-09-13,0.2647281585669958,177.10861206681753,-1.7530662413372664,-18.89354977181644,-26.28272783256725,-26.39967559317824,1.7346438570305849,10.6090402757075,13.903315838293809,12.73770677743128,-1.5786516562505624,-2.077410737833304,-2.3578054727958326,-3.135129600081577,10.694584823767713,15.626875257385889,-0.9016756722357572,-6.192853687168155,-0.2560546709415369,-1.410348122952097,36.35599271770852,6.448458751387934,-0.6579883321710162,-2.6220041861623207,-2.484061302177138,-0.4968801712343031,-0.23517332820204684,-0.852246849147769,-1.8162974675789882,-3.76093569139709
2023-09-14,-1.3606744132007909,174.6987404988493,-5.553157745875166,-21.68627462121749,-23.87275714471771,-28.59557532572713,1.9418470263010807,10.885995674133111,14.250809145238104,13.05822270974666,-3.367149839242955,-2.2809355322623848,-2.1310705809411994,-3.2261874953934977,10.9948154296094,16.30426145627444,-0.9706306712868,-6.3241859218657375,-0.5946884642406755,-1.522930333506722,31.28839941124342,6.661454191691371,-1.6828698455148603,-3.2169567979771463,-2.481021954460753,-0.5478684172261117,-0.5969009698167194,-0.9610095874486105,-1.6493198622666552,-3.877222170856192
2023-09-15,-1.6530135523167733,171.8109466426766,-7.34482661294589,-22.648506888934733,-26.031468933082703,-29.90022207072539,2.2158191039914032,11.180260847038026,14.696294382823435,13.432296594584622,-3.759403804448443,-2.3068050280985943,-2.2132333318897066,-3.233321630653036,11.784410979815329,16.424868288910712,-1.0265834453727072,-6.227488040805278,-0.7068795193737686,-1.5702215374727726,31.684057180095493,6.974069615877014,-1.9974360341456985,-3.175468812944328,-2.612637160558091,-0.5653008993179984,-0.8032675873048438,-1.0000884304541509,-1.7282440477155272,-3.903944873279586
2023-09-18,-1.1232366579057018,169.88110310769127,-7.439292462193323,-22.52446117902592,-27.44233174186446,-30.041777766327787,2.500799468503345,11.436640230479776,15.074817536132704,13.74787752051199,-3.368772556483365,-2.244088392600452,-2.251126954890917,-3.169253170850498,11.792197341634877,16.678989750171397,-1.09928515897892,-6.15301639798097,-0.7144236459660757,-1.538752165208524,30.8703595408963,7.0811617597255205,-2.2285027422620893,-3.278759923807503,-2.6256854067498323,-0.5689000961958964,-0.8427077402086216,-0.9958423683278623,-1.7642874662949903,-3.8275832239445027
2023-09-19,-2.830171422409833,165.0731766754628,-10.283196523311352,-24.71221695720115,-29.77211827959224,-31.63823310701452,3.155435037337536,11.987338537233615,15.763690752887486,14.34537558278682,-3.5711490005474293,-2.3233499812226985,-2.3004290009227577,-3.148399506117488,13.700493931927022,16.601778912800647,-1.1771805379472249,-6.034667394813298,-0.8224906879904966,-1.677578222892594,30.80517405831086,7.484252311690695,-2.50440476309744,-3.543852156777707,-2.75065340647666,-0.5484947725800219,-1.1521077536103346,-1.0818741668369507,-1.8415353262876017,-3.8869115361801665
2023-09-20,-0.8776549169605796,163.6244038237876,-10.59961033973629,-26.47709649546184,-28.97046443159716,-30.022667132395643,3.6736642882951926,12.310474568254085,16.15582622774169,14.677420938339012,-3.1535114771419,-2.4055821379334943,-2.194857371601256,-2.966966831426305,11.013516707758582,16.664461461648102,-1.2880483455110423,-6.042088436875354,-1.0518840442802515,-1.7770665916225643,27.52981626337857,7.207345862261858,-2.406180837090199,-4.00450960990301,-2.874384835717149,-0.5246941100763914,-1.2005211278967667,-1.1499280061938697,-1.7560500010154416,-3.680117891995791
