,SPX FALCON ARMATA ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-07-26,-0.2317688534830275,102.04355168219558,0.4273416383072331,-3.751034810585849,-2.8801190565127954,2.8229560943816567,0.6885762908236599,2.9309701351389017,2.867526589481731,3.2657621030351915,-0.8103539516213095,-2.3067864556342683,-3.000752403993059,-1.9890839653831287,7.768534300607821,1.0474357826038958,0.3230174845879852,0.3277987875894639,-0.0718270006503078,-6.45492766420391,-26.63861158437545,-19.81665362972189,0.168116168368352,1.64499644956653,1.948565392083612,3.195435471117112,-55.79905182616969,-676.1122209606959,-213.71128231535008,-649.5875033903187
2022-07-27,1.5872297316998685,103.66321727377792,1.5006015703346476,-1.0422925407260106,-2.602669512847517,4.454992624524387,0.801503425946586,2.883814424752443,2.82715118952406,3.2050124844425354,0.6428786167160517,-1.4071069374295893,-2.9508109558474223,-1.5287925229850472,6.98535335678838,1.0852296762322569,0.341043530425094,0.3437551460312935,0.0737642589354449,-3.739148838443891,-24.46136038260656,-14.25374770053167,-0.8143999001129206,1.7041559018168844,1.9487766906267927,3.1157692744949603,1.641753740388344,-405.7835283328683,-207.1954696455825,-489.9799122289478
2022-07-28,0.7257698932673806,104.41557369514337,2.064557234559614,-1.1970856671910752,-1.2307909482631048,5.2130955130078656,0.9748716572333594,2.863259215258716,2.8073830115057707,3.1709754694972294,1.1070432399824557,-1.4731757501408698,-2.4883007442262084,-1.317471144708989,5.307168613645512,1.110671225262861,0.3560131260899564,0.3551304837941584,0.2033523252334281,-3.797779168437742,-19.621785616670543,-11.76375690706436,-0.8850309633477159,1.0868197025212225,1.947947879875214,3.237213581056716,2.285546117981028,-421.8084042286517,-173.49795924747215,-417.7668681642639
2022-07-29,0.9232490752291156,105.37958951367894,3.303611338934535,-2.1865715095826377,-1.6209307041045409,6.184474444351622,1.2161315553153644,2.8357741936879863,2.7816835614254125,3.131156694117541,1.9062733568856656,-1.83830779534596,-2.656973046814472,-1.0354876322305224,4.029528915834114,1.129433561625932,0.3697706074453908,0.3634635795800035,0.5753226321955107,-4.615610854163799,-19.987684522939592,-8.920492212950464,-0.7834114836049947,1.1285870776782083,1.8128226208283935,3.2510659532925987,4.194215464975627,-521.3025806097528,-183.56281396433434,-324.22740313345224
2022-08-01,-0.4084102586188076,104.94920845961468,3.989336013095991,-1.2153900439798746,-2.120166028473488,5.7508061576604215,1.3686184389384883,2.8231035360723395,2.7901688788477124,3.1330614890721926,2.194916984208536,-1.5044792004918943,-2.833233874864357,-1.1847639917377604,3.5339181895782064,1.126267151687682,0.3737388100977885,0.3610222594907175,0.8500490660440576,-3.7711306278368175,-21.15167269375972,-10.281743960578316,-0.0062671695054325,0.7166745671785119,2.195886441025312,2.9478797245310333,5.4347874548461315,-424.7300550855954,-196.33727085740534,-371.1938436153022
2022-08-02,0.4983371112553758,105.47220931333771,4.22720906954496,0.3739734323235728,-0.619277605639532,6.277801670195786,1.4959923810810083,2.804247493454626,2.772470298675476,3.1070363116595603,2.167041058480152,-0.9484711327562848,-2.315416015280852,-1.0366634180111336,3.0196152500252955,1.1514840440613532,0.3915845372168497,0.3698813651509112,1.073605954582748,-2.3098433802563103,-16.39345153174107,-8.708064763996859,-0.3815321499202917,0.8384961073649541,2.085059529907754,2.9633319753305094,5.764343071076442,-265.9747796645882,-159.43577200596815,-322.09508827297054
2022-08-03,1.433383658308851,106.9840307256924,4.477467659398243,3.567226477295055,1.5902107489744297,7.801170311746267,1.7281712758845644,2.7781098233138386,2.735620705258251,3.0566668375322257,2.0207114604667087,0.1913871402591626,-1.544455887829992,-0.5671543996504617,2.275841135541897,1.190766473098232,0.4011058828584334,0.3730253861920727,1.534437289269669,0.446514498368868,-10.533491742869629,-4.647410362251924,1.4039488119104326,1.2145244901225605,2.664284085389839,3.220489480780897,6.20932491558264,53.16944944099231,-104.93520726224403,-173.36020451720645
2022-08-04,2.5825572832375965,109.74695460309992,6.90096307102822,5.759253047606134,4.882335654843649,10.585197287047636,2.2090008880603857,2.765706593804108,2.689028987555138,2.9911387004821384,2.677166866238011,0.9835126588678555,-0.3511134302897429,0.3398809294868602,1.7419802152560349,1.2909747885642406,0.4200283868575005,0.3902199454967278,3.39490881309257,2.107018254590246,-2.2478342452824607,2.605276879042856,1.3832909937331213,1.187240426185244,3.3004282261854465,3.195508268057853,10.515371743081237,272.0107445720638,-23.44945532588012,101.66310017439883
2022-08-05,0.3598452911045546,110.14187385136984,8.954463646103617,5.308914099589191,5.262859441137096,10.983132912143764,2.623175660111837,2.8213742215715194,2.7042604689713468,2.994932343290667,3.036623784231031,0.8032095617240989,-0.2125775965697271,0.4610328762068045,1.606227050164195,1.3483311386647157,0.4261035174320265,0.3952713186180885,4.959197766528252,1.680710833551139,-1.3491209705495015,3.493201270204416,0.576049503759174,1.2641689365052196,3.2466305254770726,3.1685351561973087,14.163535064238214,226.61547519681307,-14.277620889939444,138.0762272272081
2022-08-08,0.8322889799586619,111.05857252975476,9.91758795167524,5.554035218488903,6.536928062455454,11.906833296984406,2.9643216426968304,2.885479375106601,2.7167771666522054,2.9932705213156456,3.011466362292585,0.8690625273658867,0.2532292529335603,0.7585842498948415,1.547450492047996,1.4315675172960558,0.441756368350556,0.4112934725808066,5.768814550042823,1.7516896465552343,1.5573458620801492,5.52074862481183,-0.4192443461934594,1.1122320695666792,3.22273855478887,3.193860442909694,15.692707327457494,250.76619983922822,17.086681577597016,227.06478731445702
