,SANTANDER FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO PETROBRAS 2 ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-12-28,-0.5357134666980956,142.82303726964233,-1.6977325310805376,-2.246220871735972,21.022801420097423,41.046462475323565,5.12432846156642,10.09821314879346,11.636506626078708,14.089813079504482,-0.5304908090348789,-0.5391404615714629,1.247358700352624,2.036327443593257,0.2863179348105035,13.410054956224924,0.2715731864932895,2.7861805228463195,-9.49437258667005,-0.4059905284400242,53.4474627969536,10.297779635464336,-0.2210688058287346,-0.3085485939385702,0.5900406725939491,1.925882808500424,-1.9872434276598772,-0.6163349991574866,679.8689332173797,2869.1473048894204
2022-12-29,-1.5327698459965622,140.6338888212368,-4.3081786550752375,-4.930643293474887,16.59288786444045,38.88454482965694,5.077949958637216,10.274756264188689,11.68671532373272,14.287338637787048,-1.049410750152734,-0.7911406860480208,0.8627848278571816,1.855596899917804,0.2496927875568854,13.403785820306396,0.2180217695381366,2.7754538040847545,-21.34164677911451,-0.6064538652588395,46.24822874414324,9.55214647973435,-0.4724787871667954,-0.3110543523437232,0.3234784415708361,1.8770720408518984,-3.6472703399890767,-0.9182059976166049,472.2872042006443,2651.15412843535
2023-01-02,-6.315086506262125,131.74189284729746,-9.107610572642043,-16.539469929415773,15.399696225019918,30.10315633347805,5.071577183184585,11.01376680737387,12.223175137828411,15.19806204257121,-1.9970685305707008,-1.792084824471926,0.7269961950786217,1.1642350080998674,0.1947260057983027,12.468274762388171,0.1675163109677197,2.6029216715837413,-52.01301773420658,-1.5830260987917777,53.0467855079093,6.797790374717361,-1.1873502553557955,-0.5481380929331203,0.4348371154378609,1.5252732600103525,-5.03273344576868,-2.214710499020536,416.2242573462085,1769.411588523518
2023-01-03,-1.337410745462042,129.97996261608262,-9.090842824088934,-20.458354009319617,10.782154488903204,33.866161125464714,5.029101190951947,11.234927825597293,12.239393669572724,15.336937742331251,-2.010601708022351,-2.105619973968413,0.34861174833846,1.3978734381281552,0.3792489812894565,11.762978359063704,0.1271313277137461,2.490804605995326,-26.661955451971924,-2.0110968254432926,33.56211645456668,8.607298156036203,-0.6931687258464176,-0.6858033870004895,0.3166965398991234,1.8310438511292648,-4.676150679115893,-2.6278995280963686,199.85413454852727,2143.909789223005
2023-01-04,1.5571398267277603,132.0039323807435,-5.852077862193228,-21.526710273029952,11.565903384439617,36.09507138963763,4.823740245991182,11.028028168257553,11.9276649761182,15.014656913000564,-1.4247770675797042,-2.242000502913847,0.4232749363498622,1.5751263994118814,0.5491846845046865,11.851437150906914,0.1051499044838692,2.552410211114388,-12.514468586552267,-2.086231769578213,48.014134281438345,9.265745129366827,-0.5080970663005235,-0.789005885825968,0.4184219179035921,1.7558562719933273,-3.0870071661300926,-2.7122493399347523,236.47715939717654,2364.9982481779293
2023-01-05,3.038429837099565,136.01477924834472,-2.798145931822972,-18.722905470121724,15.034829339512887,39.10645560163236,4.607206511396775,10.53583112945927,11.44504673295502,14.487319489435144,-0.8288802645665435,-2.0806180003378936,0.7440549669223467,1.839079903531112,0.7726486858537276,12.498736148695173,0.0754083840668304,2.6726875175136287,-4.942508311988786,-1.7538605212305214,112.92834309732078,9.968744177710974,-0.7489626730152568,-0.719957398228606,0.458635648261469,1.8318053054682224,-1.6383141558638716,-2.3807475213170126,398.8722336427411,2664.333812905478
2023-01-06,-0.5995740343274103,135.1992699491239,-0.9823871890019814,-18.4631682848396,16.498878638641585,38.778991147231615,4.558915702057894,10.437873174191484,11.382576458942554,14.491681979538772,-0.4393728553379671,-2.0752601942654887,0.8765967398062382,1.8146852971591807,0.944593119783846,12.81964834069734,0.0358867343854443,2.7350699009574466,-2.1205572720206107,-1.6896955466730736,278.03949245800806,9.615053059583513,-0.6610008814263374,-0.8585253522130105,0.3284964383942153,1.8128353338833736,-0.8396661185616194,-2.3209713940049266,467.36011019564677,2629.784221937567
2023-01-09,0.6212968972267863,136.03925881839106,0.8562433029071174,-17.14649959724689,16.765923955537534,34.12213973316085,4.5262843480789385,10.218571763075568,11.149909609326466,14.317077973284736,-0.0363285433932052,-1.9909469244139408,0.9186721062998126,1.5102911711001683,1.134011043243243,12.511662714647665,-0.0051909682847053,2.72206541551182,-0.1450015132823542,-1.626053585969877,-1973.256314439992,7.943584432536109,-0.9288118146688452,-0.8245211521273884,0.3361782807468416,1.5059847743263557,-0.06686376161269972,-2.15508613334506,479.7810509103187,2162.2956459004627
2023-01-10,0.5480023037100823,136.78475709066598,11.068941887457385,-19.211358880495304,21.04753167958572,30.541650232259048,4.51268240341365,10.018462377499104,10.92635603984061,14.172994806941382,2.226672379957432,-2.2368196298443266,1.3291581199429907,1.2717446076738217,2.402801174380263,12.494759595535175,-0.0556407551894646,2.7848132442399725,4.1818962693793305,-1.7935113625439076,-261.0111024246512,6.472401608114294,1.501553781148416,-1.1829021381480262,0.4584386846876157,1.3254727800828718,4.085940880342457,-2.3232447367476468,680.2416375084038,1802.4429720316782
2023-01-11,1.20216566901592,138.42913648085678,9.957463050085185,-16.606424315183624,20.271581336430827,28.998480359871586,4.009217546800472,9.631062048914965,10.580161859054533,13.954128123999162,2.2290599912596,-2.0563213735879065,1.2991333063638406,1.1798099868295733,3.339730591514681,12.000790660534095,-0.152780856797551,2.8294700931205985,2.6759004012284,-1.6502711614381058,-89.9657257193654,5.818481615416717,0.5979597515259398,-1.175395203027363,0.1868984381265999,1.260538515040344,3.633978606408622,-2.0146469503088267,643.8092964601984,1646.3219718193627
