,GUEPARDO INSTITUCIONAL FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-01-26,-0.321618308847027,106.3684897075474,0.1511681568237122,-10.442406897337852,6.653442221551975,0.4802088797126812,1.7068384107451928,5.307244544725654,4.523745525860755,5.920439409648643,-0.509426351058596,-2.570173883780311,0.0235196766434883,-2.0697254616627934,1.6427780287756053,3.632553009863949,2.9917604884331954,1.93093349926602,-0.5292915099921555,-3.755083900124636,0.0355633522125272,-6.345989747984312,-2.2060088247061715,-2.575362004907748,-0.9071121964906208,-0.1458685666478288,-0.25899129573439034,-4.455269635132868,0.10703420775577921,-71.35046206648039
2023-01-27,-1.5964942516115133,104.6703228838404,1.840816387570192,-13.45161722517449,3.559787275703604,-2.381881105971491,1.697308850131578,5.240091827624687,4.53987791549442,6.0166033842457765,0.4832000771399528,-3.177377839783641,-0.6584146559992627,-2.515347627036444,1.55288171356033,3.2325567019629995,2.850287922769198,1.8613597251383045,0.528140527480067,-5.1506448878113495,-1.0487088452119695,-8.130534276096235,-2.1544788140051843,-2.505844845599728,-1.3914377441425791,-0.4353153342411593,0.23815896035807804,-5.011030226801431,-2.6173134837023255,-62.10050879143739
2023-01-30,-0.4554703176113728,104.19358063175652,3.412431155458599,-15.128710084599115,1.2138321701842802,-2.55624311513962,1.6608236825404026,5.020369460292593,4.525955623053783,6.04358140128307,1.4401014149460305,-3.6504971707565432,-1.1791855645044027,-2.535961345469013,1.7104101065717714,3.053829263537485,2.826785262123954,1.8523759767816348,1.3983514982825838,-6.001266910947495,-1.8879897273422697,-8.273854235832621,-2.549959022774853,-2.6217287543179464,-1.590576185402898,-0.4195744294105113,0.6713123221704393,-5.080578198177082,-4.046160751796599,-51.74874955289362
2023-01-31,1.0095343468337514,105.24545061543004,3.8413189319349046,-14.247948112716472,0.1667160534098644,0.0163744207340448,1.4036130899349746,4.608945179665129,4.460637846438929,5.982483968719621,2.009558283479166,-3.785265794880988,-1.4316163249049167,-2.13485769765564,2.2318701759525945,2.8244457650685657,2.794304047283964,1.8835791465081,1.2638021431845716,-6.176816264214762,-2.2853354010125475,-6.780576210667674,-2.2500660593638195,-2.568064227468676,-1.892020315275728,-0.025311519321884,0.7778956343627984,-4.499625370676376,-4.119942214422293,-43.09778371664801
2023-02-01,0.0918747790811469,105.34214464067593,2.389171564663307,-11.725767277627678,-0.6621822887717207,0.9011644487714676,1.1692090531312993,4.196955215833269,4.454655640884664,5.976984863364112,1.1704450463687432,-3.555887765415724,-1.6196134750383202,-1.9918145621074728,2.068495598872884,2.5306138855837297,2.702630905585248,1.836210622162391,0.6615894881056097,-5.897344430534006,-2.669554428509695,-6.483485796593831,-1.015836977111878,-1.5052085732884142,-1.3154133897579674,0.115050353980786,0.3770587933525666,-3.7640778027741417,-4.36039846321719,-40.17311622814058
2023-02-02,-0.7609220311604048,104.54057305400816,1.2810059445084965,-12.645379508705416,-3.084015924957918,0.9185231668265246,1.0821838034568378,3.949923963535519,4.499099067418629,6.02273527735501,0.240559250120574,-4.011093398586759,-2.1419074784560195,-1.97579039935583,1.75618328398322,2.2655451620703784,2.5764483356097507,1.77068486061736,0.148235851363846,-6.993245687752392,-3.7402861162119216,-6.720372892729659,0.1183791948748742,-1.875675914983708,-1.292837258420557,0.3574311865600958,0.0717280405587175,-3.8688305395621962,-5.494407822559209,-40.154951672993086
2023-02-03,-2.187865113932197,102.2533663262547,-1.0931861736957684,-13.216154915832616,-4.912143422462253,-1.0495722734183754,1.2053019653747945,3.72656664449432,4.640687707849632,6.159505625445594,-1.7538034904761324,-4.404668132377254,-2.470491909406088,-2.253384583612057,1.6260362015624696,1.9297185072447136,2.512888412192221,1.7179944149077404,-1.3000096750126666,-8.50605374854428,-4.562391780190919,-8.079033842374983,-0.3034706613873346,-1.546248035753081,-0.9797328429479972,0.3491211114766687,-0.585688055827484,-3.9270651096609432,-6.333755544060702,-46.836629787095134
2023-02-06,0.1715724648672756,102.42880494727042,-2.6293676753939352,-9.76133694687801,-5.744214076274879,-1.0945354398804508,1.2854268600168128,3.461654336748917,4.669914388667986,6.150369533074803,-2.8395581337101383,-3.743721964279285,-2.6332071782675426,-2.2659901038501604,2.024743307644708,1.776983910518684,2.523102109818552,1.7232323379297914,-1.802719525911734,-7.292959320856664,-4.873703700806523,-8.087520289754945,-0.4109306627497586,-1.2972635940568773,-1.114372296153318,0.2807117572716212,-1.0127633292390146,-3.0590045847989367,-6.531722535390803,-47.02877660525297
2023-02-07,-1.17297554634741,101.22734011282306,-4.897353538062634,-12.80141888868618,-6.172474595237866,-1.770387788216952,1.5452001323897937,3.42771818009604,4.779430265136756,6.227746413704867,-3.829944118090481,-4.667698006196486,-2.662474793684285,-2.3482825819985664,2.408878179729504,1.464259985540053,2.513026258321025,1.694042857531927,-2.4567577589097787,-10.92671620684678,-5.063660822072019,-8.632903449511197,-0.4071571847178066,-2.5781579978352185,-0.7574405702697129,0.3292724227317259,-1.6419725300938088,-3.5885087029684257,-6.641860479356583,-49.34983889385521
2023-02-08,2.442374499631317,103.69969085439372,-1.7303873956518452,-10.60012238700912,-5.358789007569195,0.1903254328912544,1.4797112330840507,3.109130066383013,4.688959947862558,6.078472527303112,-1.8591897894660827,-4.4379799232435415,-2.5403132365972785,-2.0853554910784244,2.514952767857748,1.2619629440266056,2.6240233118203915,1.7599312561168905,-1.0938829750872443,-10.93396353567555,-4.539375457440697,-7.202426809640682,-0.0170850485264552,-2.0267626456359134,-1.0430118933180694,0.3689169608088081,-0.7768319340935435,-3.0082427425789815,-6.01845780722242,-42.773916783973895
