,ITAU INDEX ITAU UNIBANCO ACOES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-08-03,0.710017434407284,110.86290507269294,4.3120224191900025,1.8662395357590025,-5.776659850314603,7.878618237594762,2.193739009565655,4.804598217521953,6.001773957856956,6.073670931937706,1.516447602980691,-0.243369454465895,-1.9314149759371944,-0.2726776175203816,3.2349509785987967,1.7977308512484536,0.7487324253434272,1.118127453422215,1.0283587864635937,-0.6504268680231534,-15.482054352164344,-1.4811854536391489,0.9053049880751204,0.6279010441255972,0.2206067568396611,4.590763702446991,2.4535557323129535,-7.761336416129266,-1159.1916104394772,-165.61541193235695
2022-08-04,2.4170404189145733,113.54250629788282,6.795048107248007,4.865448004894209,-3.797139623909553,10.486088043763976,2.42901906763044,4.6862203008487935,5.8597953556683136,5.910662088756781,2.391067694207593,0.3897175731746805,-1.6423149421784986,0.1552316381282617,2.3696299124719933,1.957014682008712,0.7949369582615337,1.1778463147890144,2.450994136534406,0.9332083299110288,-12.106154294006386,0.7789825777267744,0.8231504375727433,1.0145691952644953,0.3113227901070167,4.536328820916831,4.33946892466068,12.177400797722806,-962.3629470722241,91.75217584603281
2022-08-05,1.862073336114056,115.65675103281131,10.574259187507057,3.3880460577707745,-1.4700640340335065,12.543420029342398,2.792550295130777,4.606261267207676,5.749346227418256,5.783430386910666,3.432487199184388,0.0749602964573105,-1.2710642875032798,0.5085302653814313,2.1725116856429225,2.04051367733188,0.8183101143695091,1.1992980132876812,4.412125009250905,0.1692155823239577,-8.930341367946495,2.4523090648739627,1.3865540130909773,0.659038515465178,0.5807694027785685,4.827814621706151,7.27759290761434,2.302299253778157,-730.7788666163054,294.1049389470715
2022-08-08,1.2423440579211409,117.09360580685212,12.196799539647198,3.0563528035737404,-1.314285264453232,13.941596520658194,3.115292253808167,4.586719170089662,5.678272634839463,5.695828981239032,3.597147743769729,0.0021757563755368,-1.2615184819868923,0.7558884072888349,2.100689873124462,2.157200164864625,0.8611292372048415,1.2527008909256991,5.334517315162693,0.0046261740749244,-8.318433012287135,3.43690271796392,1.1584278682099995,0.2320570690825238,0.3533875727265338,4.963795046715435,8.50814532650366,0.07781520905027105,-716.3245874610393,430.5411096818359
2022-08-09,2.5917189080147507,120.12834292862456,15.571642420298597,4.496241590259241,5.357149900468163,16.894642421777963,3.540195294509083,4.55282036064794,5.540628910024275,5.545800241390295,4.118202852546261,0.3176611981978419,-0.0907925596034653,1.3027212425417356,2.121352579306082,2.2088342355465023,0.8748969842688181,1.2717519582083952,6.872616321605148,0.6547591248218443,-0.5749795571354915,5.680849740172651,2.386843955056694,1.3883718843624762,1.4911839550149153,5.511920839921352,11.234964818208777,11.277082502773782,-50.30478805540621,722.4631781352223
2022-08-10,1.846043107768569,122.345963923735,19.041527809088603,5.32352951906405,5.326728991808064,19.052567911555883,3.983357405825656,4.589397043227207,5.462016839429265,5.450879140035434,4.530690786042415,0.4946027010518073,-0.0997263774639784,1.7150851043539708,2.3398281751996417,2.30442731464166,0.91126984179116,1.32657405083086,7.713113675344241,0.98502919113868,-0.5977451771836018,7.047267065757288,2.073034226953948,1.6835671997974369,1.3997703191684665,5.549451034273851,14.181660794199527,17.699630027317014,-54.470715304352964,934.8721618708555
2022-08-11,0.1442911882703068,122.52249836888132,17.11738642859833,4.565223552836505,-0.2897668182997086,19.224350276461777,4.226600214637578,4.691349354056605,5.477601950499359,5.449318102522378,3.8142836825986106,0.3214443949961638,-1.1268512345093589,1.7408889908162302,2.4340034407281177,2.3270956065737813,0.9118566196893304,1.3289758965770957,6.623430337771939,0.6480214867710712,-6.769093283737992,7.138322009127924,1.5914070942800198,1.8315219329976764,0.5355794445037266,5.62438649025828,12.811495608699255,14.441309839301818,-617.2442520071075,948.6657892136798
2022-08-12,1.215609220596359,124.01189315635848,16.999692548812817,7.374930911036835,1.148166666337576,20.67365247161857,4.506289398435075,4.765158890918714,5.4204013150729935,5.399569283878853,3.551034969563881,0.9053425147634372,-0.8755347638880955,2.019069110954601,2.4620562140650777,2.5067405555161817,0.9670847527153028,1.424702979807856,6.499441867087673,1.7210001745327612,-4.907273920146524,7.652193971693225,0.3055800912495983,0.6205701017830159,0.368604548429831,5.224503473237914,13.387016484943866,43.883277923663535,-474.57497855711557,1090.210355353905
2022-08-15,0.8514738700046376,125.06782202228293,14.175360025416705,8.632412577914904,1.0695565770919464,21.701157090394588,4.8027920694409785,4.890788950861137,5.393984073264113,5.376730690753923,2.743381636565407,1.1384601032944588,-0.896480551781085,2.212448768081103,2.2149117765810424,2.534315820713988,0.9848250220068008,1.4481321636047573,5.94872071513601,2.197030081523192,-4.910112670009722,8.214541111669634,-0.486643884628975,1.5236245643743034,0.4598521266149005,5.442918282102046,18.497422400022103,56.75970075691056,-483.56018182981956,1189.5741193062374
2022-08-16,0.9920191476284757,126.30851876426588,16.78181402812878,8.362741645657618,3.130347330381136,22.908455871616724,5.190971295476454,5.03391618446397,5.363694949193989,5.355588263087495,3.040004942276422,1.0518018844383574,-0.519428160689821,2.440285157167167,2.043553054389663,2.549636802942263,1.0034442557932672,1.4847831960738946,7.722128064923942,2.076641866329324,-2.7764912558681365,8.802067925383955,0.8099095138402316,1.893019318194292,0.8105112985381269,5.292665326367873,43.12070948582278,53.973835851936784,-278.60542019611165,1306.9162546311104
