,BB ACOES BB SEGURIDADE FUNDO DE INVESTIMENTO EM ACOES,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2022-08-04,-1.2190053475705565,140.8228499317834,11.140610559690677,12.451493227630465,27.41282974003501,41.17144339133192,4.842304386874758,4.570733623646891,5.722670316063335,8.541337346511348,2.096834618903661,2.0592640921032404,3.7720746960785454,3.699991678579029,2.107585355364604,1.611208738053962,0.142025224237157,-0.6984731512256934,4.8176039218641975,5.841792812713591,151.9894793982297,-45.2456576900214,2.5599833867171413,3.470770499935292,3.856722934543564,3.305266242814328,1015.3511473668062,941.2347625744969,2158.633989322232,3160.2877106028272
2022-08-05,0.9407858437826766,142.14769136875293,13.08214332350727,14.378504554226792,21.69283024575051,42.49956434622124,4.513823632493398,4.615110829005457,5.667796783272529,8.509793978642929,2.679164775083374,2.456223832234285,2.797401921751045,3.86580377726086,1.5974310829122416,1.6741792570724887,0.1273434334006624,-0.7198443151891704,7.57045321483804,6.7709268041151685,124.50666037671392,-45.70042856795276,2.0041435143066235,4.361744946768702,3.115349942447177,3.340940255752801,1209.3277277115192,1133.5745206605732,1585.5105613620963,3289.7193706349553
2022-08-08,3.5074744234307342,147.1334852870092,16.73197617234646,15.622289804254402,26.1760548292473,47.49770011916517,4.088221657074404,4.633591908687882,5.584371286610066,8.307036272701602,3.850413322729028,2.71407513479515,3.63999690848448,4.557764460442408,1.4125808275766172,1.7779820646474085,0.1097224021679073,-0.7597039114948351,11.143676048381613,7.073140294388577,185.25928905551805,-49.83719857493815,2.6956340514943684,4.562366214969247,3.4735370299507187,3.582102794882703,1574.1343134668625,1257.591658415778,2032.7094219090138,3786.151469532533
2022-08-09,1.007309922476085,148.6155754835901,17.49863114439072,15.040175883958046,26.569769807478945,48.98345908788952,3.7149482957022273,4.805657245479321,5.648091287223513,8.318995983994219,4.443192682817717,2.49501536463528,3.666649665047663,4.725744371448552,1.2694334687522293,1.818974601320389,0.0960653007329328,-0.7797811676304354,13.002832752420524,6.591729568922025,215.5780689640534,-50.41600141091861,2.72079289865441,4.701749464482834,3.5158285445448314,3.6478023625203417,1650.6231084510282,1199.018866464176,2070.9572026456717,3931.3448447463784
2022-08-10,-1.1362961049124154,146.92686248807692,11.407478057820253,14.889452560172256,24.693868257847264,47.29056584531007,3.1675183738564594,5.031719648374489,5.809139709944015,8.491488131479327,3.2875297680251623,2.352247748681937,3.2401410626733007,4.426399586324882,0.9514637180509176,1.888016028005009,0.085964700289442,-0.8110021602401243,10.94451711322375,6.268935771373737,218.95536248740228,-46.34601656465864,-0.9266482365526024,4.538295554182835,3.223318478293423,3.421133138898126,14.561744767645898,1183.585121488756,1882.243211299567,3758.6719552462737
2022-08-11,2.8153234963451235,151.06332897014644,9.954934583729042,16.81391857242743,31.8222009644662,51.43727175345278,3.034174699609053,5.138243597814679,5.794707318126072,8.367690991337017,2.9526976109335306,2.67731622927961,4.476416812554964,4.983403356110896,0.6245158660386682,1.903484588154717,0.0708168506209409,-0.8118716460973795,14.345512858653136,7.227115501763722,366.2902972279932,-51.36228068756347,-0.838151560288698,5.6009493392485865,4.121710800056289,3.667072265323472,8.32867494609535,1375.6702974421294,2593.9525262694838,4169.95793691278
2022-08-12,0.9465212601226458,152.4931754950979,13.581748769000551,19.76777649716061,29.75901776412837,52.8706577263489,3.2555720047074086,5.353431036565959,5.873022684063675,8.406062593349406,3.8653875382911855,3.120792330294481,4.063512537926525,5.127145834289641,0.5230964785832172,2.0659007935978027,0.065749799187702,-0.8428000899850432,24.05683840787647,8.087003292437888,362.9684289086532,-51.13799739750176,-0.5601854064030392,4.781543434314225,3.5999441664561544,3.5267281313780545,10.198151124600642,1670.6946519675475,2386.5101312219635,4309.910880826938
2022-08-15,0.5484109263997894,153.329464731527,13.623572270748394,20.478359160756167,31.71059380084143,53.70901711657942,3.275487965519356,5.571928740184037,5.995534878169483,8.479540285878489,3.854113935319064,3.125293859457157,4.304108962723611,5.177592149937967,0.4646931225880877,2.09509703516489,0.0519779980163434,-0.8294082820985863,27.16653894632366,8.311746131443265,496.4684364591592,-52.93364217217773,-0.2765727837689529,5.205862332709862,3.897138972123573,3.569059385345716,9.919296599772395,1741.3914677030027,2580.5435405451285,4390.36012192472
2022-08-16,-0.8439719427403181,152.035407069239,11.321249188234358,19.14325375467813,30.931776807273604,52.41175613865357,3.193103139274487,5.814677511190366,6.167853191232697,8.654958087410161,3.23197000016538,2.764589198112484,4.055766974234972,4.918852567902728,0.2848033722115169,2.1097327038401046,0.0452881973804873,-0.8081945658020864,36.23557359392712,7.619540906146371,552.3597034513319,-52.67600725711048,-0.7384701209487706,5.09872727984789,3.7942556876215168,3.36651044233844,6.5963962957191296,1607.5194637944462,2501.5375274931353,4257.246281334796
2022-08-17,-0.8817535961657241,150.69482939996078,9.23520069120198,17.59562883327308,29.28559101340348,51.06785999792165,3.059268728046787,6.01982491445682,6.317916862766102,8.820168091815153,2.6909038010784445,2.4126872729938094,3.69709599823461,4.670509491868391,0.1308942281530366,2.0978244294820314,0.0424277651567429,-0.773086282041708,62.89198511638528,6.923341511637888,550.534421603852,-53.28600409763179,-0.9094996502281104,5.108432278998732,3.426487112152042,3.212528507745609,4.15167983746877,1452.3954956761017,2335.794515051152,4119.467879269738
