,ITAU ACOES PETROBRAS - FUNDO DE INVESTIMENTO,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-09-05,4.267807632748943,220.934484339022,12.721919827688744,16.31396748006808,51.75797975710388,36.38812219749966,3.622374056856553,3.322519026152161,12.076138718359084,10.991408698774883,3.240026426565308,3.960597062770848,3.7470649496568,2.078305337681191,1.6618414903903935,23.02686660768422,5.1516207566533945,3.88480230844402,7.062398994721632,0.5714698104685771,8.783658241984442,5.880222866848744,3.331117593125911,2.2213873781790574,2.7017572293602234,2.547664663764124,141.9177574770345,1315.915909597851,18.47113423315095,2284.3503367299313
2023-09-06,0.4525553218152511,221.9343351056233,13.266799406610218,16.796587491814723,53.508810736341886,38.28075551825121,3.779144012230986,3.4950553566617604,12.106864812615004,11.0735399839555,3.249801333395344,3.903681793962255,3.882323900544753,2.2339851002543543,2.5911928630540784,23.29813742268,5.108347476663502,3.8169843358247824,4.739696309430972,0.5856083564606831,9.201169426591004,6.481064933655789,3.792898186685002,2.3760881176766047,2.798418122567921,2.647257281032416,1228.1467250041287,1364.358396469077,19.54185061464069,2473.8123331227425
2023-09-08,-0.7330128495720123,220.3075279116869,12.37720670800192,11.591580905034563,57.354401333990815,37.48413321795493,3.821273183358776,3.655171844549404,12.260985357575212,11.278224443064667,2.981172505813861,2.3091615284473304,4.1473195856147935,2.1229837870509662,3.1355306641386886,24.1742684548304,5.14169257251324,3.793008482429234,3.633156799173664,0.3491473679573054,9.889783178450998,6.312532057406206,3.73380902578566,2.000341264531396,3.050763431314419,2.6789448196077936,1139.1874551432988,844.0382203297349,21.475076666438472,2394.34876393482
2023-09-11,-0.6366651901320908,218.90490657023267,11.17073726054901,12.35094962609136,59.17709888500574,37.35737176074036,3.73814812218106,3.8215357662210687,12.368416540822023,11.46597545790339,2.72471950577424,2.4078161977433745,4.258814016252123,2.0773385433486022,4.752349223792372,26.27210130732907,5.371760593661651,3.914103444506525,2.1432358238715743,0.350240569283881,9.805869938628774,6.085355968100844,3.051530227959612,1.938342216302289,3.0374946117961565,2.768553900009553,1018.5405103980081,920.1555718162726,22.283645421719832,2381.871275579185
2023-09-12,1.0189607992033831,221.1354617557161,12.52445602741524,12.878376325845764,64.81054970461865,42.49524452895853,3.6109946405395927,3.936749674161661,12.265140429460244,11.47139144297635,3.1955527547174687,2.471782050053774,4.754132274696423,2.5244166940742505,6.066688894245767,27.80658665582164,5.57251149042362,3.985103848394774,1.902046416421836,0.3499454032453344,10.46388151367422,7.266704498698247,3.2978235180144133,1.8589611755451252,3.288250221118092,3.22710405032229,1153.912387084631,973.0787180147837,24.676526821501508,2895.8572062910002
2023-09-13,-1.2164664529698666,218.44542304783783,8.191110456458155,9.043391030030207,63.41654625344607,39.208525476390506,3.3843774341029107,4.091203709123273,12.395732537397269,11.720191482058926,2.129129637634298,1.4415333565117738,4.591738305159193,2.1905648515884155,6.034510245341859,29.29170307088716,5.692905144321385,3.9951745964277214,1.1940949649478991,0.201340516142521,9.99805169233327,6.426212145381692,1.834333990298604,1.442077404620658,3.221137439950572,2.7507589754269217,720.5778299889225,589.760661498589,24.57646038403634,2567.3839514484225
2023-09-14,2.736519649454761,224.42322497287648,11.939926090079975,11.751438684414987,67.18036443723004,43.3244750607686,3.338517200818419,4.181110196852071,12.068650394460242,11.535374102113796,3.2812752711969213,2.058653937159596,5.028204436659966,2.582644941076378,6.3349539044764684,30.82354614682734,5.919656707214127,4.0606159034914135,1.729230251505098,0.2792494714088441,10.251209564900869,7.336762766119294,2.678085623361625,1.6621408189775744,3.270356666203645,3.004348974782177,1095.4593933511046,860.7458968447648,27.266197459585534,2979.177556824766
2023-09-15,-1.3738839916389578,221.33991021145425,9.809319784867,6.250734042330383,68.83942704645347,42.07228722787962,3.200462894590219,4.377925825156909,12.216682038676757,11.809791864712794,2.757097307146839,0.7100529150131355,5.103232383296168,2.416771988612989,6.74218063811249,31.25963363851893,6.022312177409074,4.01120107393377,1.3087735410732622,0.0994432317989006,10.352264306402963,7.115468320813154,2.269493931326938,1.0795005158158506,3.3294412888168585,2.915630332262244,882.398762829807,310.85589938639504,29.685926017829697,2854.157416998744
2023-09-18,1.1592745462223109,223.9058474511669,12.156394890715193,9.176182186785285,67.09546515181175,42.17745030200543,3.014358104882213,4.483206485482522,12.042979190558512,11.794418874004156,3.705950768109808,1.3463158107460145,5.03218247238498,2.4290067997441054,7.211125455781359,31.984124989103595,6.151882021127028,3.979914447777938,1.5491427520776402,0.1887127372188697,9.85104535325975,7.198326501711976,2.9418758298533043,1.3951873411128928,3.2485532870154548,2.926482197839248,1117.1062734146262,603.5811774244191,30.717119506149952,2864.872364398631
2023-09-19,-0.0035276012170237,223.89794894576727,10.605331295002223,12.753166496414456,68.5516349876981,42.507253622461405,2.645207653610529,4.638988337487642,12.019300978981514,11.913200214139234,3.636765198869226,2.072564099919851,5.163403596124017,2.4326388215287764,8.419329686681458,30.818584562111614,6.265300067846714,3.952566905102288,1.1426086750886089,0.3119741164246704,9.905431699315129,7.3320740737240095,3.1923076651344613,2.0821280980635803,3.305145659087046,3.225065716180091,961.9999138433293,961.460068822376,33.05889670710944,2898.051332956003
