,ALASKA BLACK FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM ACOES II - BDR NIVEL I,Close,Retorno(1M),Retorno(3M),Retorno(6M),Retorno(12M),Volatilidade(%/1M),Volatilidade(%/3M),Volatilidade(%/6M),Volatilidade(%/12M),Sharpe(1M),Sharpe(3M),Sharpe(6M),Sharpe(12M),Beta(1M),Beta(3M),Beta(6M),Beta(12M),Treynor(1M),Treynor(3M),Treynor(6M),Treynor(12M),InfoRatio(1M),InfoRatio(3M),InfoRatio(6M),InfoRatio(12M),Sortino(1M),Sortino(3M),Sortino(6M),Sortino(12M)
2023-07-28,0.9212777614731716,158.69733824422207,2.143632968567857,42.01868837793037,31.35197187699509,44.124920922612205,2.5273846566186493,8.702036577156994,11.826051095581365,9.357505794262584,0.4443155676247377,4.461088344937952,2.0970088546632835,3.2637502556697022,6.565406886558313,6.63595308412869,5.113798533578408,8.296988559024854,0.1710413943438376,5.850034419988069,4.849493717888232,3.680921301890365,0.7139347696964976,3.0258285727052527,1.8070493565504635,1.9203117698391208,2.0271102521096633,3882.0553951578813,7.999204146483518,11.184557599663087
2023-07-31,1.9407523611818969,161.77726058332962,5.499702333700828,43.71741670972419,34.181343006024846,49.0475424413279,2.691207805454241,8.302549240235855,11.754557195605935,9.289837951803726,1.6643180449933843,4.880342303422651,2.3504675278191174,3.81720286811027,5.0803718994969405,6.851280315701057,5.177681588507416,8.548248349006792,0.8816334319713982,5.9141182985192895,5.336115116365992,4.148358192941949,1.4700244102720907,3.2076419748199183,1.8866611141599836,2.1911574958765754,8.085335602615155,4051.928228337264,8.911838227390032,12.986591110230965
2023-08-01,-1.8456417702236936,158.79143188728003,3.4798082030765323,33.25185812587698,28.14910010974776,47.2789340141288,2.8012762512912865,8.164345831538247,12.10030980351392,9.55204051721244,0.8778611469278237,3.681093907540048,1.7847858812355053,3.5270579284036203,3.527760318526099,6.637904000701339,5.037880364334147,8.476913824673362,0.6970801190506248,4.527592399099181,4.2868151948942925,3.974394565697374,1.1331072981609451,2.4867851480082224,1.564504281063437,2.0361901583578126,4.439113639917278,3005.3723699525426,6.966094738681808,12.33816390868388
2023-08-02,0.092965453935645,158.939053062745,8.03440415636613,33.2937731740997,30.453023289314764,46.88106309134494,2.8514348463061587,7.982147116416842,12.215452555818628,9.627190882427842,2.459718672932559,3.770368837959726,1.9565697763747336,3.4579912541087494,3.2480035150199047,6.240359815567151,4.95477828362738,8.46949618224128,2.1593965350332627,4.822740937577319,4.82370429256762,3.9306637793726775,2.690645954004989,2.828963408893395,1.658826668028284,2.12651939168362,12.660865237842163,3009.563874774815,7.709241790650342,12.191727869550418
2023-08-03,-0.7887740296299128,157.68538308924636,3.3498422077433245,30.672181614173905,32.488475702790765,38.88314947607904,2.6395727946658543,7.832321848520363,12.423376681411936,9.779862909747964,0.8830721051313171,3.5080086511047024,2.087814179789159,2.5862150104981927,3.1060175398177376,6.04724464758063,4.902296668948663,8.433300688398385,0.750457160834227,4.543532534910472,5.290928670352455,2.999161205362905,1.0573828635660032,2.759160002753508,1.6833563634166655,1.6114129724652868,4.207695517356667,2747.5852802845807,8.36649077738494,9.262733775838937
2023-08-04,-0.6676050700327951,156.6326674770419,4.528581930457574,26.926911623144505,36.51928710654359,34.62569790121584,2.6225183633808657,7.665850657567057,12.601002424435674,9.925706247931972,1.3389573786018154,3.0958584318129385,2.3784121822493347,2.11948284588182,3.0820587022531187,5.852213379858643,4.82276271549337,8.275464549625495,1.139316493420632,4.055284189897562,6.214358748886783,2.5421369398175786,1.7423145407799252,2.4750287847928942,1.923730739785783,1.5471530694780284,6.4265664829366225,2373.238839524773,9.672278160148677,7.704298675341392
2023-08-07,-1.108474083841926,154.8964349512286,3.4000733799709666,23.321300721795943,36.200375350831386,28.43880345982724,2.500797510144382,7.551076306286557,12.808138421906376,10.1112558800218,0.9535754926590176,2.665657481037658,2.3151943853563943,1.468903296350173,3.2573130688940024,5.798226608895317,4.825609669515477,8.212113355759058,0.7321062382824876,3.471506790517434,6.14499145021867,1.8086035164125245,0.8475678762176563,2.101614874210632,1.9200673186943416,1.161285759825023,4.364427897970507,2012.8583045738967,9.660733142314399,5.439263437119099
2023-08-08,0.0741134090546546,155.01123397967507,2.88405109361394,22.42429172723136,37.42649518088024,28.697438308537983,2.322156981510489,7.37143324539488,12.85767120666718,10.181054480064123,0.8054771363362494,2.609177744835274,2.401781294954033,1.4844316317110604,3.641571257088501,5.766727127834004,4.81887574429681,8.140101879254342,0.5136366209913877,3.3352331652021974,6.408406408360008,1.8566204131790536,0.9102247275792068,2.056252487232204,1.9589435783552367,1.343250026029024,3.423249131918528,1923.3379571423181,10.162199470445143,5.534708447603161
2023-08-09,-1.1263328050511334,153.26529159984742,-0.6721269981216604,19.664682223326608,32.61601479674413,23.26685361426151,2.237561767844589,7.271334806503829,13.04466129721244,10.365193633542408,-0.7525898802428742,2.265825463220346,1.9987255628621583,0.934327162712957,3.7227940284316112,5.688473496421334,4.765902883296236,8.012101138189266,-0.4523393800563383,2.89630874900651,5.470673371251015,1.2087318659068718,0.0241747434538053,1.807535846705928,1.813883035691268,1.021683099576113,-3.081960874311593,1647.5575556176764,8.866063405172042,3.5466487664039192
2023-08-10,0.7986703523723104,154.48937604433235,1.941294417906096,23.76402828103122,39.01159216931117,26.57778062493556,2.2160928573588765,7.05161946015095,12.99687375889789,10.356675396088292,0.4202091227184054,2.9180143919038697,2.498303831584788,1.2549776618376332,3.3635431656945096,5.74732587397928,4.773691523092374,7.980700711706738,0.2768575842733439,3.5802262690740982,6.8018931163453935,1.6286033949285426,0.7639592440245881,2.354776197127203,2.136466673517845,1.3797561243057173,1.7043043190571219,2057.672707094987,11.192324706848021,4.7599034884
