datetime,symbol,Open,High,Low,Close,Volume
2020-07-13 10:00:00,BMFBOVESPA:LWSA3,12.04737537,12.18835267,11.6640163,11.76047421,5175705.72885608
2020-07-14 10:00:00,BMFBOVESPA:LWSA3,11.70111584,11.87177232,11.32764917,11.65906948,5945127.49293804
2020-07-15 10:00:00,BMFBOVESPA:LWSA3,11.80746738,11.93113167,11.15699294,11.35238277,7610118.99293252
2020-07-16 10:00:00,BMFBOVESPA:LWSA3,11.22129788,11.54777162,10.94923668,11.08032058,4931091.87322309
2020-07-17 10:00:00,BMFBOVESPA:LWSA3,11.12978655,11.27323763,11.08032058,11.12978655,3755328.08449459
2020-07-20 10:00:00,BMFBOVESPA:LWSA3,11.22871848,11.60218416,11.20398488,11.58734395,5128804.55984215
2020-07-21 10:00:00,BMFBOVESPA:LWSA3,11.68627588,11.92618486,11.45131347,11.50077943,5437301.0422355
2020-07-22 10:00:00,BMFBOVESPA:LWSA3,11.52303901,11.80746738,11.32764917,11.74316145,5977068.80631821
2020-07-23 10:00:00,BMFBOVESPA:LWSA3,11.75552763,11.84456593,11.15451891,11.20151209,3454918.01055193
2020-07-24 10:00:00,BMFBOVESPA:LWSA3,11.1916187,11.1916187,10.42242653,10.88245796,6319528.2042044
2020-07-27 10:00:00,BMFBOVESPA:LWSA3,10.92945014,11.10258016,10.71427452,10.84535818,2637382.11618844
2020-07-28 10:00:00,BMFBOVESPA:LWSA3,10.80578585,10.867618,10.59802959,10.7340613,2253277.71478126
2020-07-29 10:00:00,BMFBOVESPA:LWSA3,10.73158727,11.46862647,10.67470194,11.26829081,5305088.26406692
2020-07-30 10:00:00,BMFBOVESPA:LWSA3,11.16688633,11.66648909,10.95665629,11.60465695,2794258.44013158
2020-07-31 10:00:00,BMFBOVESPA:LWSA3,11.67390969,12.08694794,11.52303901,11.84703995,8418759.83800026
2020-08-03 10:00:00,BMFBOVESPA:LWSA3,12.08200113,12.66569684,11.87919193,12.3664295,11762085.41193283
2020-08-04 10:00:00,BMFBOVESPA:LWSA3,12.20319263,12.79183492,11.97070425,12.61623088,8342343.27814135
2020-08-05 10:00:00,BMFBOVESPA:LWSA3,12.80667414,13.23702614,12.3664295,13.15293441,9865822.63024898
2020-08-06 10:00:00,BMFBOVESPA:LWSA3,13.1900342,13.60307245,12.8239869,13.50414052,9622017.41546106
2020-08-07 10:00:00,BMFBOVESPA:LWSA3,13.35574386,14.11751641,13.2864921,13.57834008,8767284.04222445
2020-08-10 10:00:00,BMFBOVESPA:LWSA3,13.63275163,13.92954619,13.39778922,13.59317906,5991624.34152943
2020-08-11 10:00:00,BMFBOVESPA:LWSA3,13.58575945,13.58575945,12.96001861,13.30133132,9011493.57743491
2020-08-12 10:00:00,BMFBOVESPA:LWSA3,13.36811004,13.43983558,12.61870466,12.78194153,5036215.18308189
